"EnvironmentId","EnvironmentName","EnvironmentCategory","StrategicPriority","CommercializationTrack","PrimaryAssuranceProblem","KeyWorkflowDependencies","EvidenceSources","OfficialSourceSystems","HumanAuthority","AssuranceOutcomes","RepresentativeUseCases","PlatformAApplication","PlatformBv1Application","PlatformB1Application","ThreadCApplication","ThreadDv1Application","ThreadD2Application","CrossCuttingAssuranceOSApplication","DecisionBoundary","DisplayBoundary","SourceOfTruthBoundary","DataBoundary","EnvironmentStatus","MaturityStatement","Step151ReviewStatus","Step152Readiness"
"ENV-001","Clinical Trials and Clinical Operations","CLINICAL RESEARCH","CORE LIFE-SCIENCES ASSURANCE","CLINICAL ASSURANCE DEMONSTRATION","Clinical workflows may appear complete while identity, protocol, site, consent, delegation, data provenance, review, and evidence dependencies remain incomplete or inconsistent.","Participant identity; informed consent; protocol version; site activation; investigator delegation; randomization; EDC; CTMS; eTMF; safety reporting; laboratory results; data review; monitoring; and submission traceability.","Protocol records; consent evidence; delegation logs; EDC audit trails; CTMS milestones; eTMF documents; monitoring evidence; laboratory evidence; safety records; and human review records.","EDC, CTMS, eTMF, IRT/RTSM, safety systems, laboratory systems, document management systems, and regulated clinical repositories.","Principal investigator, sponsor medical authority, clinical operations, data management, safety personnel, quality assurance, and authorized reviewers.","Protocol-to-evidence traceability; participant identity integrity; delegation assurance; consent assurance; review completeness; workflow dependency integrity; and inspection reconstruction.","Site activation readiness; enrollment admissibility; consent verification; clinical data provenance; protocol deviation reconstruction; AI-assisted trial decision governance; and inspection readiness.","Registers the use case, regulated context, stakeholders, risk classification, system inventory, and governance ownership.","Uses the frozen six-capability Platform B v1 core for registry, assurance checks, evidence upload, trust scoring, admissibility records, and wearable endpoint simulation where applicable.","Evaluates advanced assurance conditions such as evidence integrity, workflow dependency integrity, source agreement, identity, authority, No-Bind state, reconstruction, and inspection readiness.","Translates verified lessons into Assurance Engineering doctrine, research, publications, teaching material, and regulated case studies.","May display or witness Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","May display Platform B1 evaluated assurance state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","Uses shared identity, evidence integrity, hashing, rehashing, chain-of-custody, authority, provenance, and governance schemas.","Platform B or Platform B1 may evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, evaluate, reconstruct, or display evidence but does not replace the official record.","Simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, or real regulated production integration is authorized by this register.","REGISTERED LIFE-SCIENCES ASSURANCE BASELINE","Environment registration is not implementation proof, production readiness, regulatory validation, or operational release.","HUMAN ENVIRONMENT REVIEW REQUIRED","READY AFTER STEP 151 ENVIRONMENT REGISTER REVIEW"
"ENV-002","GxP Laboratory, LIMS, Middleware, and Instrument Workflows","LABORATORY ASSURANCE","CORE LIFE-SCIENCES ASSURANCE","LABORATORY WORKFLOW DEPENDENCY DEMONSTRATION","A result may appear complete in one component while remaining blocked, held, mismatched, delayed, manually altered, or not defensible across instruments, middleware, LIMS, interfaces, identities, and reviews.","Sample identity; accession number; instrument status; calibration; method version; middleware state; interface state; LIMS state; analyst identity; review status; audit trail; result mapping; and release authorization.","Instrument files; raw data; middleware logs; LIMS audit trails; sample records; method versions; calibration evidence; analyst actions; exception logs; interface messages; and review records.","LIMS, laboratory middleware, CDS, instrument software, SDMS, ELN, validated file stores, and approved quality systems.","Qualified analyst, laboratory reviewer, laboratory management, system owner, data integrity owner, and Quality Unit.","Sample-to-result genealogy; source agreement; interface dependency assurance; result hold visibility; identity integrity; audit-trail completeness; and defensible result reconstruction.","LIS/middleware mismatch; verified result held in LIMS; manual result-entry error; patient or accession mismatch; interface timeout; missing audit fields; instrument server latency; and site-to-site workflow variation.","Registers the use case, regulated context, stakeholders, risk classification, system inventory, and governance ownership.","Uses the frozen six-capability Platform B v1 core for registry, assurance checks, evidence upload, trust scoring, admissibility records, and wearable endpoint simulation where applicable.","Evaluates advanced assurance conditions such as evidence integrity, workflow dependency integrity, source agreement, identity, authority, No-Bind state, reconstruction, and inspection readiness.","Translates verified lessons into Assurance Engineering doctrine, research, publications, teaching material, and regulated case studies.","May display or witness Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","May display Platform B1 evaluated assurance state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","Uses shared identity, evidence integrity, hashing, rehashing, chain-of-custody, authority, provenance, and governance schemas.","Platform B or Platform B1 may evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, evaluate, reconstruct, or display evidence but does not replace the official record.","Simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, or real regulated production integration is authorized by this register.","REGISTERED LIFE-SCIENCES ASSURANCE BASELINE","Environment registration is not implementation proof, production readiness, regulatory validation, or operational release.","HUMAN ENVIRONMENT REVIEW REQUIRED","READY AFTER STEP 151 ENVIRONMENT REGISTER REVIEW"
"ENV-003","GMP Manufacturing, Batch Execution, and MES","MANUFACTURING ASSURANCE","CORE LIFE-SCIENCES ASSURANCE","BATCH AND MES ASSURANCE DEMONSTRATION","Manufacturing execution may progress while material, equipment, recipe, operator, environmental, automation, review, or release dependencies are incomplete, mismatched, or not evidence-defensible.","Master batch record; recipe version; material status; equipment status; operator qualification; line clearance; environmental state; automation state; deviation status; review by exception; and batch release dependencies.","Electronic batch records; MES events; equipment records; material genealogy; operator actions; environmental evidence; automation events; deviations; review records; and release evidence.","MES, ERP, LIMS, eQMS, historian, automation platforms, equipment systems, warehouse systems, and validated document repositories.","Manufacturing operators, manufacturing supervision, process engineering, system owners, quality reviewers, and authorized batch-release personnel.","Batch release dependency assurance; MES execution dependency assurance; material genealogy assurance; equipment-state assurance; review completeness; and end-to-end batch evidence reconstruction.","Pre-execution readiness; recipe-version mismatch; equipment hold; material-status conflict; missing operator qualification; exception review; deviation linkage; and batch-release readiness.","Registers the use case, regulated context, stakeholders, risk classification, system inventory, and governance ownership.","Uses the frozen six-capability Platform B v1 core for registry, assurance checks, evidence upload, trust scoring, admissibility records, and wearable endpoint simulation where applicable.","Evaluates advanced assurance conditions such as evidence integrity, workflow dependency integrity, source agreement, identity, authority, No-Bind state, reconstruction, and inspection readiness.","Translates verified lessons into Assurance Engineering doctrine, research, publications, teaching material, and regulated case studies.","May display or witness Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","May display Platform B1 evaluated assurance state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","Uses shared identity, evidence integrity, hashing, rehashing, chain-of-custody, authority, provenance, and governance schemas.","Platform B or Platform B1 may evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, evaluate, reconstruct, or display evidence but does not replace the official record.","Simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, or real regulated production integration is authorized by this register.","REGISTERED LIFE-SCIENCES ASSURANCE BASELINE","Environment registration is not implementation proof, production readiness, regulatory validation, or operational release.","HUMAN ENVIRONMENT REVIEW REQUIRED","READY AFTER STEP 151 ENVIRONMENT REGISTER REVIEW"
"ENV-004","Radiopharmaceutical and IRLT Operations","RADIOPHARMACEUTICAL ASSURANCE","FIRST-TIER COMMERCIALIZATION / DEMONSTRATION","IRLT FIRST-TIER TRACK","Short-lived radiopharmaceutical workflows require tightly synchronized identity, timing, dose, material, equipment, laboratory, transport, release, and patient-treatment dependencies.","Isotope receipt; radionuclide identity; decay timing; synthesis; equipment status; environmental status; QC completion; sterility dependencies; dose calculation; batch release; chain of identity; chain of custody; transport; and administration window.","Isotope records; synthesis evidence; batch records; laboratory results; equipment evidence; environmental evidence; dose records; release records; transport evidence; timestamps; custody events; and administration evidence.","MES or batch systems, LIMS, dose-management systems, ERP, eQMS, equipment systems, logistics systems, clinical systems, and approved records.","Authorized nuclear pharmacist, qualified manufacturing personnel, laboratory staff, Quality Unit, radiation safety personnel, clinical authority, and authorized releaser.","Chain-of-identity truth; chain-of-custody truth; timing assurance; release dependency assurance; dose evidence integrity; material genealogy; and patient-treatment readiness.","Time-critical batch release; dose-to-patient identity; isotope decay window; transport readiness; laboratory dependency hold; equipment readiness; and regulator inspection reconstruction.","Registers the use case, regulated context, stakeholders, risk classification, system inventory, and governance ownership.","Uses the frozen six-capability Platform B v1 core for registry, assurance checks, evidence upload, trust scoring, admissibility records, and wearable endpoint simulation where applicable.","Evaluates advanced assurance conditions such as evidence integrity, workflow dependency integrity, source agreement, identity, authority, No-Bind state, reconstruction, and inspection readiness.","Translates verified lessons into Assurance Engineering doctrine, research, publications, teaching material, and regulated case studies.","May display or witness Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","May display Platform B1 evaluated assurance state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","Uses shared identity, evidence integrity, hashing, rehashing, chain-of-custody, authority, provenance, and governance schemas.","Platform B or Platform B1 may evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, evaluate, reconstruct, or display evidence but does not replace the official record.","Simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, or real regulated production integration is authorized by this register.","REGISTERED LIFE-SCIENCES ASSURANCE BASELINE","Environment registration is not implementation proof, production readiness, regulatory validation, or operational release.","HUMAN ENVIRONMENT REVIEW REQUIRED","READY AFTER STEP 151 ENVIRONMENT REGISTER REVIEW"
"ENV-005","Compounding Pharmacy Operations","COMPOUNDING PHARMACY ASSURANCE","FIRST-TIER COMMERCIALIZATION / DEMONSTRATION","COMPOUNDING PHARMACY FIRST-TIER TRACK","Compounded preparations require defensible agreement across prescription, formula, ingredients, lot identity, beyond-use dating, environment, personnel, equipment, preparation, verification, labeling, release, and dispensing.","Prescription or order; master formulation record; ingredient identity; lot status; supplier status; weighing; environmental state; personnel qualification; equipment status; compounding record; verification; labeling; BUD; storage; release; and dispensing.","Prescription records; formulation records; certificates; lot records; weighing evidence; environmental records; training records; equipment evidence; preparation records; verification evidence; labels; release records; and dispensing evidence.","Pharmacy management systems, compounding systems, inventory systems, eQMS, environmental systems, equipment systems, and controlled document repositories.","Licensed pharmacist, compounding personnel, designated verifier, pharmacy management, quality personnel, and authorized release roles.","Prescription-to-preparation traceability; ingredient genealogy; formulation integrity; environmental assurance; personnel qualification assurance; label accuracy; BUD defensibility; and dispensing evidence integrity.","Sterile compounding readiness; formula-version verification; ingredient-lot genealogy; environmental excursion hold; pharmacist verification; label mismatch; beyond-use-date assurance; and recall reconstruction.","Registers the use case, regulated context, stakeholders, risk classification, system inventory, and governance ownership.","Uses the frozen six-capability Platform B v1 core for registry, assurance checks, evidence upload, trust scoring, admissibility records, and wearable endpoint simulation where applicable.","Evaluates advanced assurance conditions such as evidence integrity, workflow dependency integrity, source agreement, identity, authority, No-Bind state, reconstruction, and inspection readiness.","Translates verified lessons into Assurance Engineering doctrine, research, publications, teaching material, and regulated case studies.","May display or witness Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","May display Platform B1 evaluated assurance state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","Uses shared identity, evidence integrity, hashing, rehashing, chain-of-custody, authority, provenance, and governance schemas.","Platform B or Platform B1 may evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, evaluate, reconstruct, or display evidence but does not replace the official record.","Simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, or real regulated production integration is authorized by this register.","REGISTERED LIFE-SCIENCES ASSURANCE BASELINE","Environment registration is not implementation proof, production readiness, regulatory validation, or operational release.","HUMAN ENVIRONMENT REVIEW REQUIRED","READY AFTER STEP 151 ENVIRONMENT REGISTER REVIEW"
"ENV-006","DSCSA and Pharmaceutical Supply Chain","SUPPLY-CHAIN ASSURANCE","FIRST-TIER COMMERCIALIZATION / DEMONSTRATION","DSCSA FIRST-TIER TRACK","Pharmaceutical products require interoperable, defensible transaction, serialization, verification, ownership, custody, exception, and recall evidence across trading partners and systems.","Product identifier; serial number; lot; expiration; transaction information; transaction statement; trading-partner authorization; verification requests; EPCIS exchange; aggregation; deaggregation; exception management; returns; suspect-product investigation; and recall.","Serialization events; EPCIS records; transaction records; verification messages; partner identity; shipping evidence; receiving evidence; exception records; return evidence; investigation evidence; and recall records.","Serialization platforms, EPCIS repositories, ERP, warehouse systems, distribution systems, partner gateways, verification routers, and quality systems.","Authorized trading-partner personnel, supply-chain owners, quality personnel, investigators, compliance personnel, and recall authorities.","Product identity integrity; trading-partner assurance; transaction traceability; chain-of-custody truth; exception visibility; suspect-product governance; and recall reconstruction.","Serialized-product verification; EPCIS mismatch; unauthorized trading partner; aggregation break; saleable-return verification; suspect-product hold; transaction-history reconstruction; and recall execution evidence.","Registers the use case, regulated context, stakeholders, risk classification, system inventory, and governance ownership.","Uses the frozen six-capability Platform B v1 core for registry, assurance checks, evidence upload, trust scoring, admissibility records, and wearable endpoint simulation where applicable.","Evaluates advanced assurance conditions such as evidence integrity, workflow dependency integrity, source agreement, identity, authority, No-Bind state, reconstruction, and inspection readiness.","Translates verified lessons into Assurance Engineering doctrine, research, publications, teaching material, and regulated case studies.","May display or witness Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","May display Platform B1 evaluated assurance state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","Uses shared identity, evidence integrity, hashing, rehashing, chain-of-custody, authority, provenance, and governance schemas.","Platform B or Platform B1 may evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, evaluate, reconstruct, or display evidence but does not replace the official record.","Simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, or real regulated production integration is authorized by this register.","REGISTERED LIFE-SCIENCES ASSURANCE BASELINE","Environment registration is not implementation proof, production readiness, regulatory validation, or operational release.","HUMAN ENVIRONMENT REVIEW REQUIRED","READY AFTER STEP 151 ENVIRONMENT REGISTER REVIEW"
"ENV-007","CMC, Process Development, and Technology Transfer","CMC ASSURANCE","CORE LIFE-SCIENCES ASSURANCE","AI-ENABLED CMC ASSURANCE TRACK","AI-assisted formulation, process development, digital-twin analysis, CPP/CQA optimization, scale-up, technology transfer, and regulatory content must remain traceable to evidence and qualified human review.","Formulation rationale; model identity; training-data provenance; CPP/CQA mapping; digital-twin version; experiment results; process model; scale-up assumptions; technology-transfer package; change control; validation strategy; and human approval.","Development reports; model records; experiment data; ELN records; digital-twin evidence; risk assessments; control strategies; transfer protocols; validation records; change controls; and regulatory content review.","ELN, LIMS, development data platforms, modeling systems, document management systems, eQMS, regulatory information systems, MES, and validated repositories.","Formulation scientists, process scientists, engineers, statisticians, model owners, technology-transfer leads, regulatory personnel, and Quality Unit.","AI recommendation provenance; claim-to-proof traceability; model-use governance; digital-twin evidence integrity; transfer-package completeness; control-strategy traceability; and defensible regulatory CMC content.","AI-selected formulation; AI-optimized CPPs or CQAs; digital-twin-assisted scale-up; AI-generated CMC content; technology-transfer dependency assurance; and lifecycle evidence continuity.","Registers the use case, regulated context, stakeholders, risk classification, system inventory, and governance ownership.","Uses the frozen six-capability Platform B v1 core for registry, assurance checks, evidence upload, trust scoring, admissibility records, and wearable endpoint simulation where applicable.","Evaluates advanced assurance conditions such as evidence integrity, workflow dependency integrity, source agreement, identity, authority, No-Bind state, reconstruction, and inspection readiness.","Translates verified lessons into Assurance Engineering doctrine, research, publications, teaching material, and regulated case studies.","May display or witness Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","May display Platform B1 evaluated assurance state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","Uses shared identity, evidence integrity, hashing, rehashing, chain-of-custody, authority, provenance, and governance schemas.","Platform B or Platform B1 may evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, evaluate, reconstruct, or display evidence but does not replace the official record.","Simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, or real regulated production integration is authorized by this register.","REGISTERED LIFE-SCIENCES ASSURANCE BASELINE","Environment registration is not implementation proof, production readiness, regulatory validation, or operational release.","HUMAN ENVIRONMENT REVIEW REQUIRED","READY AFTER STEP 151 ENVIRONMENT REGISTER REVIEW"
"ENV-008","Quality Systems, Deviations, CAPA, Change Control, and Validation","QUALITY-SYSTEM ASSURANCE","CORE LIFE-SCIENCES ASSURANCE","QUALITY EVENT AND GOVERNANCE TRACK","Quality events may be fragmented across systems, documents, emails, investigations, actions, approvals, effectiveness checks, and linked operational evidence.","Event identity; issue detection; containment; impact assessment; investigation; root cause; CAPA; change control; validation; approver authority; due dates; effectiveness checks; closure; and recurrence monitoring.","Deviation records; CAPA records; investigation evidence; change controls; validation records; risk assessments; approvals; action evidence; effectiveness checks; audit trails; and linked operational evidence.","eQMS, document management systems, validation systems, training systems, ServiceNow where governed, laboratory systems, MES, ERP, and approved repositories.","Quality Unit, investigation owners, CAPA owners, change owners, validation personnel, system owners, process owners, and authorized approvers.","Deviation truth timeline; CAPA evidence continuity; change dependency assurance; approval-authority verification; No-Bind governance; effectiveness-check traceability; and defensible quality-event reconstruction.","Missing investigation evidence; overdue CAPA dependency; unavailable approver; silent dashboard; validation evidence gap; change implementation without prerequisites; and inspection reconstruction.","Registers the use case, regulated context, stakeholders, risk classification, system inventory, and governance ownership.","Uses the frozen six-capability Platform B v1 core for registry, assurance checks, evidence upload, trust scoring, admissibility records, and wearable endpoint simulation where applicable.","Evaluates advanced assurance conditions such as evidence integrity, workflow dependency integrity, source agreement, identity, authority, No-Bind state, reconstruction, and inspection readiness.","Translates verified lessons into Assurance Engineering doctrine, research, publications, teaching material, and regulated case studies.","May display or witness Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","May display Platform B1 evaluated assurance state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","Uses shared identity, evidence integrity, hashing, rehashing, chain-of-custody, authority, provenance, and governance schemas.","Platform B or Platform B1 may evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, evaluate, reconstruct, or display evidence but does not replace the official record.","Simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, or real regulated production integration is authorized by this register.","REGISTERED LIFE-SCIENCES ASSURANCE BASELINE","Environment registration is not implementation proof, production readiness, regulatory validation, or operational release.","HUMAN ENVIRONMENT REVIEW REQUIRED","READY AFTER STEP 151 ENVIRONMENT REGISTER REVIEW"
"ENV-009","Facilities, Utilities, BMS, and Environmental Monitoring","FACILITIES AND ENVIRONMENTAL ASSURANCE","SUPPORTING REGULATED INFRASTRUCTURE","FACILITY AND ENVIRONMENT ASSURANCE TRACK","Facility and environmental states may be technically available while alarms, access, calibration, trend, review, communication, or quality dependencies remain unresolved.","HVAC state; pressure cascade; temperature; humidity; environmental monitoring; alarms; sensor calibration; access control; historian data; review; maintenance; change control; backup; recovery; and escalation.","BMS events; EMS records; alarm histories; trends; access records; calibration records; maintenance evidence; backup evidence; review records; deviations; and change controls.","BMS, EMS, historian, access-control systems, maintenance systems, eQMS, CMMS, validated file stores, and approved reporting systems.","Facilities personnel, engineering, environmental monitoring staff, system owners, security personnel, maintenance personnel, and Quality Unit.","Environmental-state assurance; alarm-review completeness; access-accountability assurance; backup evidence integrity; calibration dependency assurance; and facility-event reconstruction.","BMS user reconciliation; disabled-account removal; environmental excursion; alarm-review gap; missing backup evidence; sensor calibration hold; and facility change-control readiness.","Registers the use case, regulated context, stakeholders, risk classification, system inventory, and governance ownership.","Uses the frozen six-capability Platform B v1 core for registry, assurance checks, evidence upload, trust scoring, admissibility records, and wearable endpoint simulation where applicable.","Evaluates advanced assurance conditions such as evidence integrity, workflow dependency integrity, source agreement, identity, authority, No-Bind state, reconstruction, and inspection readiness.","Translates verified lessons into Assurance Engineering doctrine, research, publications, teaching material, and regulated case studies.","May display or witness Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","May display Platform B1 evaluated assurance state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","Uses shared identity, evidence integrity, hashing, rehashing, chain-of-custody, authority, provenance, and governance schemas.","Platform B or Platform B1 may evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, evaluate, reconstruct, or display evidence but does not replace the official record.","Simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, or real regulated production integration is authorized by this register.","REGISTERED LIFE-SCIENCES ASSURANCE BASELINE","Environment registration is not implementation proof, production readiness, regulatory validation, or operational release.","HUMAN ENVIRONMENT REVIEW REQUIRED","READY AFTER STEP 151 ENVIRONMENT REGISTER REVIEW"
"ENV-010","Equipment, Calibration, Preventive Maintenance, and Asset Assurance","EQUIPMENT AND ASSET ASSURANCE","SUPPORTING REGULATED INFRASTRUCTURE","EQUIPMENT DEPENDENCY ASSURANCE TRACK","Equipment may be available for use while calibration, maintenance, qualification, configuration, software, ownership, CMDB, or validation dependencies are incomplete.","Equipment identity; CI identity; owner; lifecycle status; qualification; validation; calibration; preventive maintenance; firmware; software version; configuration; access; support group; spare parts; and retirement status.","Equipment records; CMDB records; calibration certificates; maintenance work orders; qualification evidence; validation evidence; configuration evidence; access records; service records; and lifecycle records.","CMMS, calibration systems, ServiceNow CMDB, asset systems, validation systems, document repositories, eQMS, and equipment-native systems.","Equipment owner, asset owner, maintenance personnel, calibration personnel, system owner, validation personnel, engineering, and Quality Unit.","Equipment identity assurance; calibration and PM readiness; lifecycle-state assurance; CMDB relationship integrity; validation dependency assurance; and equipment-use admissibility.","Calibration overdue; PM incomplete; duplicate CI; misspelled CI; incorrect owner; missing parent application; unsupported software; validation gap; and retirement mismatch.","Registers the use case, regulated context, stakeholders, risk classification, system inventory, and governance ownership.","Uses the frozen six-capability Platform B v1 core for registry, assurance checks, evidence upload, trust scoring, admissibility records, and wearable endpoint simulation where applicable.","Evaluates advanced assurance conditions such as evidence integrity, workflow dependency integrity, source agreement, identity, authority, No-Bind state, reconstruction, and inspection readiness.","Translates verified lessons into Assurance Engineering doctrine, research, publications, teaching material, and regulated case studies.","May display or witness Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","May display Platform B1 evaluated assurance state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","Uses shared identity, evidence integrity, hashing, rehashing, chain-of-custody, authority, provenance, and governance schemas.","Platform B or Platform B1 may evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, evaluate, reconstruct, or display evidence but does not replace the official record.","Simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, or real regulated production integration is authorized by this register.","REGISTERED LIFE-SCIENCES ASSURANCE BASELINE","Environment registration is not implementation proof, production readiness, regulatory validation, or operational release.","HUMAN ENVIRONMENT REVIEW REQUIRED","READY AFTER STEP 151 ENVIRONMENT REGISTER REVIEW"
