TrackId,Scenario,IntegrityState,DependenciesSatisfied,NoBindState,ActionAdmissibilityState,ExecutionPerformed
IRLT,IRLT_01_baseline_success,REHASH_VERIFIED,True,INACTIVE,ADMISSIBLE,False
IRLT,IRLT_02_evidence_tamper_failure,REHASH_MISMATCH,True,ACTIVE,HELD,False
IRLT,IRLT_03_domain_failure,REHASH_VERIFIED,False,ACTIVE,HELD,False
IRLT,IRLT_04_recovery_success,REHASH_VERIFIED,True,INACTIVE,ADMISSIBLE,False
COMPOUNDING,COMPOUNDING_01_baseline_success,REHASH_VERIFIED,True,INACTIVE,ADMISSIBLE,False
COMPOUNDING,COMPOUNDING_02_evidence_tamper_failure,REHASH_MISMATCH,True,ACTIVE,HELD,False
COMPOUNDING,COMPOUNDING_03_domain_failure,REHASH_VERIFIED,False,ACTIVE,HELD,False
COMPOUNDING,COMPOUNDING_04_recovery_success,REHASH_VERIFIED,True,INACTIVE,ADMISSIBLE,False
DSCSA,DSCSA_01_baseline_success,REHASH_VERIFIED,True,INACTIVE,ADMISSIBLE,False
DSCSA,DSCSA_02_evidence_tamper_failure,REHASH_MISMATCH,True,ACTIVE,HELD,False
DSCSA,DSCSA_03_domain_failure,REHASH_VERIFIED,False,ACTIVE,HELD,False
DSCSA,DSCSA_04_recovery_success,REHASH_VERIFIED,True,INACTIVE,ADMISSIBLE,False
