risk_id,system_key,system_name,risk_domain,risk_status,risk_score,risk_statement,control_needed,evidence_needed,approval_needed,go_no_go_position,safe_next_action,supporting_route,last_checked,risk_hash
ST-IRISK-16F9A218CBF3,servicenow,ServiceNow,Source-of-Truth Boundary,GREEN,85,Source-of-Truth Boundary: External system must remain source of truth where applicable. Current blueprint signal is acceptable for mock testing.,Document source-of-truth rule and no-writeback boundary.,Document which system remains source of truth and what AssuranceLayer is allowed to store.,"ITSM owner, application owner, QA/Governance reviewer",GO FOR BLUEPRINT,Load sample ticket reference CSV and map ticket_number to CSP record_id.,/sterile-compounding/data-contracts/servicenow,2026-05-12 23:01:46 UTC,7da706864c94e7e92ec5309736568cad241a9c8c0cb042fed82a0eaa71bac5ce
ST-IRISK-4352AB3BC436,servicenow,ServiceNow,Data Quality,YELLOW,65,"Data Quality: Mapped fields must be complete, valid, and consistently formatted. Review or approval is needed before live implementation.",Define field-level validation and allowed values.,"Field mapping matrix with required fields, status values, and quality rules.","ITSM owner, application owner, QA/Governance reviewer",CONDITIONAL,Load sample ticket reference CSV and map ticket_number to CSP record_id.,/sterile-compounding/data-contracts/servicenow,2026-05-12 23:01:46 UTC,f1900bfa78a69560a0a9ec2ea487c57d0652165c3319f9503016a283811a1c7a
ST-IRISK-033854F79C8E,servicenow,ServiceNow,Security and Privacy,YELLOW,60,Security and Privacy: Sensitive data must not be pulled or stored unnecessarily. Review or approval is needed before live implementation.,Review PHI/PII/secrets handling and least-privilege access.,Security/privacy review confirming metadata-only use and no unnecessary sensitive data.,"ITSM owner, application owner, QA/Governance reviewer",CONDITIONAL,Load sample ticket reference CSV and map ticket_number to CSP record_id.,/sterile-compounding/data-contracts/servicenow,2026-05-12 23:01:46 UTC,986b8615144ce43a0fd416d06f236e9605701db1aaf3d844e0302fe3b7c1f94e
ST-IRISK-CBDFA3C553E5,servicenow,ServiceNow,Validation / CSV Boundary,YELLOW,65,Validation / CSV Boundary: Validated systems cannot be replaced by AssuranceLayer. Review or approval is needed before live implementation.,Document CSV/validation boundary and intended use.,CSV/validation boundary statement and validated-system non-replacement statement.,"ITSM owner, application owner, QA/Governance reviewer",CONDITIONAL,Load sample ticket reference CSV and map ticket_number to CSP record_id.,/sterile-compounding/data-contracts/servicenow,2026-05-12 23:01:46 UTC,d8c166e43e05f723287fe52f556cccbd286121e6b152b45d4b5e31024e69364a
ST-IRISK-74EEEC792768,servicenow,ServiceNow,Operational Failure Mode,YELLOW,65,Operational Failure Mode: Missing or stale connector data must not create false GREEN readiness. Review or approval is needed before live implementation.,Define fallback logic and YELLOW/RED behavior.,Fallback rule showing when missing connector data becomes YELLOW/RED instead of false GREEN.,"ITSM owner, application owner, QA/Governance reviewer",CONDITIONAL,Load sample ticket reference CSV and map ticket_number to CSP record_id.,/sterile-compounding/data-contracts/servicenow,2026-05-12 23:01:46 UTC,e2e62c8e8e0b16fbdd04f3189746b3bfa86b03329b3eb4251ed51e034a82c219
ST-IRISK-5D2F8D5F07A4,servicenow,ServiceNow,Approval Readiness,YELLOW,65,Approval Readiness: System owner and governance approval must exist before live connection. Review or approval is needed before live implementation.,Capture owner approval and implementation authorization.,Named owner/reviewer approval before live connector design or implementation.,"ITSM owner, application owner, QA/Governance reviewer",CONDITIONAL,Load sample ticket reference CSV and map ticket_number to CSP record_id.,/sterile-compounding/data-contracts/servicenow,2026-05-12 23:01:46 UTC,bcd8565c98d1c1c230ae70d0340ae4894034e1713a39e907cf9ce12399cc179d
ST-IRISK-ABF2D5FD3268,veeva,Veeva Vault / QMS,Source-of-Truth Boundary,GREEN,85,Source-of-Truth Boundary: External system must remain source of truth where applicable. Current blueprint signal is acceptable for mock testing.,Document source-of-truth rule and no-writeback boundary.,Document which system remains source of truth and what AssuranceLayer is allowed to store.,"QA, Document Control, Veeva owner, CSV/validation reviewer",GO FOR BLUEPRINT,Map SOP/formula version evidence to sterile SOP drift register using document_id and version.,/sterile-compounding/data-contracts/veeva,2026-05-12 23:01:46 UTC,ce50b00a53cd3312d8290226b16b0c2519886eaa2104e793c126b3f6c8990b4d
ST-IRISK-2395F5F864DE,veeva,Veeva Vault / QMS,Data Quality,YELLOW,65,"Data Quality: Mapped fields must be complete, valid, and consistently formatted. Review or approval is needed before live implementation.",Define field-level validation and allowed values.,"Field mapping matrix with required fields, status values, and quality rules.","QA, Document Control, Veeva owner, CSV/validation reviewer",CONDITIONAL,Map SOP/formula version evidence to sterile SOP drift register using document_id and version.,/sterile-compounding/data-contracts/veeva,2026-05-12 23:01:46 UTC,d5e2ff385ba66f7d4686ceee54c69088947c149167f1e119d05083b0f8dcebbd
ST-IRISK-FD0F0A991303,veeva,Veeva Vault / QMS,Security and Privacy,YELLOW,60,Security and Privacy: Sensitive data must not be pulled or stored unnecessarily. Review or approval is needed before live implementation.,Review PHI/PII/secrets handling and least-privilege access.,Security/privacy review confirming metadata-only use and no unnecessary sensitive data.,"QA, Document Control, Veeva owner, CSV/validation reviewer",CONDITIONAL,Map SOP/formula version evidence to sterile SOP drift register using document_id and version.,/sterile-compounding/data-contracts/veeva,2026-05-12 23:01:46 UTC,4a2391151eee54a744df8f95ac8f340bd794ed4f0197cb635d3ab813545d3884
ST-IRISK-614D23378BC4,veeva,Veeva Vault / QMS,Validation / CSV Boundary,YELLOW,58,Validation / CSV Boundary: Validated systems cannot be replaced by AssuranceLayer. Review or approval is needed before live implementation.,Document CSV/validation boundary and intended use.,CSV/validation boundary statement and validated-system non-replacement statement.,"QA, Document Control, Veeva owner, CSV/validation reviewer",CONDITIONAL,Map SOP/formula version evidence to sterile SOP drift register using document_id and version.,/sterile-compounding/data-contracts/veeva,2026-05-12 23:01:46 UTC,4222df92b9c34631c9f16cda226b0336ac4115662ecc87cd049bbd79a8230774
