SEQUENCE	CLASS	PHASE	BYTE_LENGTH	SHA-256	ROLE	RELATIVE_PATH	STATUS
161	GENERATED	173D	2763	9B40ACD08B960EB12CA1A2406F8242F547B6663D39BFAFCCECBFFE024EA5A207	GENERATED_SCENARIO_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/scenarios/scenario_01_validated_spreadsheet_assurance.result.json	SEALED
162	GENERATED	173D	2826	3FC1F71D2922A68D17381B01AF84919D86A81290C876154BD5A1CE11B0FCFE07	GENERATED_SCENARIO_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/scenarios/scenario_02_pipette_measurement_integrity.result.json	SEALED
163	GENERATED	173D	2477	F93406114C875E1BBFE078D432E5933846FF39093C9B55CE496FD60237477EF2	GENERATED_SCENARIO_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/scenarios/scenario_03_pipette_verification_missing.result.json	SEALED
164	GENERATED	173D	2988	15951E93481BBDBFB5C4B185BC9F830A2868E8C7230899522F72C4FD9C24BB0F	GENERATED_SCENARIO_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/scenarios/scenario_04_balance_day_of_use_assurance.result.json	SEALED
165	GENERATED	173D	2412	9697D22FC9E1203A5FC88CFCD5F26B3248CC313FF97730A2DF7839D2E3187CFE	GENERATED_SCENARIO_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/scenarios/scenario_05_balance_requalification_required.result.json	SEALED
166	GENERATED	173D	2514	5C8949397CE10DECFDC9F4DE1242F898EA9B831590D90A7A5677571F0D3A2D2D	GENERATED_SCENARIO_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/scenarios/scenario_06_environmental_readiness.result.json	SEALED
167	GENERATED	173D	2440	5683D47881289B099DEFBE80C3F0195D78712FA7CAB883F155DF09D40AE30557	GENERATED_SCENARIO_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/scenarios/scenario_07_environmental_excursion.result.json	SEALED
168	GENERATED	173D	2921	223DD64B68E3EAFB87DF45106AB6844EF94EA99EFDB1A52E6F412D60F3DB03A4	GENERATED_SCENARIO_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/scenarios/scenario_08_analytical_result_reliance.result.json	SEALED
169	GENERATED	173D	2992	8A5DFCC5596049D24636A549CB539B2A7B130AFE05E5B889CA1C303CD787DCC4	GENERATED_SCENARIO_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/scenarios/scenario_09_migration_readiness.result.json	SEALED
170	GENERATED	173D	2618	4AC9EA5BD8E524F4C75BE57B4519EF0B9B9868B4D5F1B24139AB2069679F98D9	GENERATED_SCENARIO_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/scenarios/scenario_10_cmdb_authority_gap.result.json	SEALED
171	GENERATED	173D	2852	207B19C9BDBD57667FE8032AEC93D9B3835FBF35078B02D87E8011AA448DA01E	GENERATED_SCENARIO_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/scenarios/scenario_11_power_cold_chain_dependency.result.json	SEALED
