"PrimitiveId","PrimitiveName","PrimitiveCategory","Purpose","RequiredFields","ValidationRule","FailureState","PrimaryOwnerLayer","AppliesTo","RuntimeAuthority","SourceOfTruthRule","HumanAccountabilityRule","DisplayBoundary","Step154Dependency","MaturityStatement","ReviewStatus"
"UK-001","Assurance Object","OBJECT","Defines the universal object being governed, evaluated, referenced, witnessed, reconstructed, or linked to evidence.","object_id; object_type; object_name; lifecycle_state; owner_role; source_system_id; created_at_utc; updated_at_utc","Every assurance evaluation must reference one uniquely identified assurance object.","OBJECT_IDENTITY_UNRESOLVED","CROSS-CUTTING ASSURANCE OS","Clinical subjects, samples, batches, equipment, CIs, devices, shipments, transactions, AI agents, documents, cases, and assets.","SCHEMA AND ASSURANCE-EVALUATION SUPPORT ONLY. NO INDEPENDENT APPROVAL, RELEASE, OVERRIDE, OR EXECUTION AUTHORITY.","Official records remain in governed source systems. The kernel stores governed references, integrity values, evaluations, and reconstruction links without replacing the official record.","Qualified humans and authorized organizational roles remain accountable for binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated state but may not approve, release, override, resolve, or execute actions.","Step 154 must define the full Regulated Object Identity schema.","Kernel primitive registration is a schema baseline, not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN SCHEMA REVIEW REQUIRED"
"UK-002","Regulated Object Identity Reference","IDENTITY","Provides a stable identity reference connecting an assurance object to its official source-system identity.","object_id; source_system_id; source_record_id; identity_type; identity_status; identity_verified_at_utc","An object identity must be unique within its declared source system and must not be inferred only from display text.","IDENTITY_MISMATCH_OR_DUPLICATE","CROSS-CUTTING ASSURANCE OS","All regulated, critical, operational, digital, physical, human, AI, document, and evidence objects.","SCHEMA AND ASSURANCE-EVALUATION SUPPORT ONLY. NO INDEPENDENT APPROVAL, RELEASE, OVERRIDE, OR EXECUTION AUTHORITY.","Official records remain in governed source systems. The kernel stores governed references, integrity values, evaluations, and reconstruction links without replacing the official record.","Qualified humans and authorized organizational roles remain accountable for binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated state but may not approve, release, override, resolve, or execute actions.","Step 154 will expand aliases, identity bindings, canonical IDs, source-system keys, lifecycle states, and duplicate resolution.","Kernel primitive registration is a schema baseline, not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN SCHEMA REVIEW REQUIRED"
"UK-003","Evidence Item","EVIDENCE","Represents one governed item of evidence supporting or contradicting an assurance claim.","evidence_id; object_id; evidence_type; source_system_id; source_record_id; captured_at_utc; captured_by; evidence_status","Evidence must have identifiable origin, time, object linkage, and status before it can support an assurance decision.","EVIDENCE_MISSING_OR_UNATTRIBUTED","CROSS-CUTTING ASSURANCE OS","Files, records, events, logs, approvals, sensor readings, audit trails, images, reports, signatures, and attestations.","SCHEMA AND ASSURANCE-EVALUATION SUPPORT ONLY. NO INDEPENDENT APPROVAL, RELEASE, OVERRIDE, OR EXECUTION AUTHORITY.","Official records remain in governed source systems. The kernel stores governed references, integrity values, evaluations, and reconstruction links without replacing the official record.","Qualified humans and authorized organizational roles remain accountable for binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated state but may not approve, release, override, resolve, or execute actions.","Evidence must reference a valid regulated object identity.","Kernel primitive registration is a schema baseline, not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN SCHEMA REVIEW REQUIRED"
"UK-004","Evidence Integrity Seal","INTEGRITY","Stores the cryptographic integrity value calculated for a governed evidence item.","seal_id; evidence_id; hash_algorithm; hash_value; hashed_at_utc; hashed_by; content_length; seal_status","A seal is valid only when the declared algorithm, hash value, evidence reference, and calculation context are complete.","EVIDENCE_SEAL_INVALID","CROSS-CUTTING ASSURANCE OS","Documents, structured records, event payloads, files, exports, images, logs, and evidence packages.","SCHEMA AND ASSURANCE-EVALUATION SUPPORT ONLY. NO INDEPENDENT APPROVAL, RELEASE, OVERRIDE, OR EXECUTION AUTHORITY.","Official records remain in governed source systems. The kernel stores governed references, integrity values, evaluations, and reconstruction links without replacing the official record.","Qualified humans and authorized organizational roles remain accountable for binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated state but may not approve, release, override, resolve, or execute actions.","The sealed evidence item must resolve to a governed object identity.","Kernel primitive registration is a schema baseline, not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN SCHEMA REVIEW REQUIRED"
"UK-005","Rehash Verification","INTEGRITY","Verifies whether current evidence content still matches its previously recorded integrity seal.","verification_id; seal_id; recalculated_hash; verified_at_utc; verified_by; comparison_result; verification_status","The recalculated hash must be compared against the stored seal using the same algorithm and declared evidence scope.","REHASH_MISMATCH","CROSS-CUTTING ASSURANCE OS","Evidence reconstruction, audit preparation, inspection readiness, transfer verification, archive checks, and chain-of-custody review.","SCHEMA AND ASSURANCE-EVALUATION SUPPORT ONLY. NO INDEPENDENT APPROVAL, RELEASE, OVERRIDE, OR EXECUTION AUTHORITY.","Official records remain in governed source systems. The kernel stores governed references, integrity values, evaluations, and reconstruction links without replacing the official record.","Qualified humans and authorized organizational roles remain accountable for binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated state but may not approve, release, override, resolve, or execute actions.","The related evidence and assurance object identities must remain resolvable.","Kernel primitive registration is a schema baseline, not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN SCHEMA REVIEW REQUIRED"
"UK-006","Provenance Link","PROVENANCE","Connects evidence, decisions, transformations, actors, and source records into a traceable provenance path.","provenance_id; parent_object_id; child_object_id; relation_type; source_system_id; recorded_at_utc; recorded_by","Every derived or transformed item must identify its parent, relationship, actor, source, and time.","PROVENANCE_CHAIN_INCOMPLETE","CROSS-CUTTING ASSURANCE OS","Derived data, AI outputs, transformed records, reports, submissions, investigations, reconstructions, and decisions.","SCHEMA AND ASSURANCE-EVALUATION SUPPORT ONLY. NO INDEPENDENT APPROVAL, RELEASE, OVERRIDE, OR EXECUTION AUTHORITY.","Official records remain in governed source systems. The kernel stores governed references, integrity values, evaluations, and reconstruction links without replacing the official record.","Qualified humans and authorized organizational roles remain accountable for binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated state but may not approve, release, override, resolve, or execute actions.","Parent and child objects must use canonical regulated object identities.","Kernel primitive registration is a schema baseline, not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN SCHEMA REVIEW REQUIRED"
"UK-007","Source-System Reference","SOURCE OF TRUTH","Identifies the governed system and official record location from which evidence or state originated.","source_system_id; system_name; system_type; environment; record_id; record_version; record_status; reference_uri_or_key","An assurance record must not claim official-record authority without a governed source-system reference.","SOURCE_OF_TRUTH_UNRESOLVED","CROSS-CUTTING ASSURANCE OS","LIMS, MES, ERP, eQMS, EHR, CMDB, historians, identity systems, document repositories, and other official systems.","SCHEMA AND ASSURANCE-EVALUATION SUPPORT ONLY. NO INDEPENDENT APPROVAL, RELEASE, OVERRIDE, OR EXECUTION AUTHORITY.","Official records remain in governed source systems. The kernel stores governed references, integrity values, evaluations, and reconstruction links without replacing the official record.","Qualified humans and authorized organizational roles remain accountable for binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated state but may not approve, release, override, resolve, or execute actions.","Step 154 must define how source-system identities bind to objects.","Kernel primitive registration is a schema baseline, not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN SCHEMA REVIEW REQUIRED"
"UK-008","Chain-of-Custody Event","CUSTODY","Records custody, control, possession, transfer, or responsibility changes for a governed object.","custody_event_id; object_id; from_custodian; to_custodian; event_type; event_at_utc; location; condition_status; evidence_id","Every custody transfer must identify the object, parties, time, location, condition, and supporting evidence.","CUSTODY_CHAIN_BROKEN","CROSS-CUTTING ASSURANCE OS","Samples, materials, doses, products, shipments, devices, documents, digital evidence, serialized goods, and assets.","SCHEMA AND ASSURANCE-EVALUATION SUPPORT ONLY. NO INDEPENDENT APPROVAL, RELEASE, OVERRIDE, OR EXECUTION AUTHORITY.","Official records remain in governed source systems. The kernel stores governed references, integrity values, evaluations, and reconstruction links without replacing the official record.","Qualified humans and authorized organizational roles remain accountable for binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated state but may not approve, release, override, resolve, or execute actions.","The transferred item must have one canonical object identity.","Kernel primitive registration is a schema baseline, not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN SCHEMA REVIEW REQUIRED"
"UK-009","Workflow Dependency","DEPENDENCY","Defines a condition that must agree or be satisfied before execution, release, reporting, transfer, or audit exposure.","dependency_id; object_id; dependency_type; required_state; observed_state; source_system_id; evaluated_at_utc; dependency_status","A workflow cannot be considered trustworthy when required and observed dependency states disagree or remain unknown.","DEPENDENCY_UNSATISFIED_OR_MISMATCHED","PLATFORM B1 / MVP2","Clinical, laboratory, manufacturing, quality, supply-chain, IT, equipment, AI-agent, financial, and infrastructure workflows.","SCHEMA AND ASSURANCE-EVALUATION SUPPORT ONLY. NO INDEPENDENT APPROVAL, RELEASE, OVERRIDE, OR EXECUTION AUTHORITY.","Official records remain in governed source systems. The kernel stores governed references, integrity values, evaluations, and reconstruction links without replacing the official record.","Qualified humans and authorized organizational roles remain accountable for binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated state but may not approve, release, override, resolve, or execute actions.","Every dependency must identify the regulated objects it constrains.","Kernel primitive registration is a schema baseline, not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN SCHEMA REVIEW REQUIRED"
"UK-010","Control Requirement","CONTROL","Defines the governed requirement, policy, obligation, or control that an assurance evaluation tests.","control_id; control_name; control_source; obligation_reference; applicable_object_type; evaluation_method; control_owner; control_status","A control result must identify the requirement tested, evaluation method, owner, applicable object, and result.","CONTROL_UNMAPPED_OR_UNTESTED","PLATFORM A / CROSS-CUTTING ASSURANCE OS","Policies, regulations, standards, SOPs, technical controls, quality controls, AI controls, and operational requirements.","SCHEMA AND ASSURANCE-EVALUATION SUPPORT ONLY. NO INDEPENDENT APPROVAL, RELEASE, OVERRIDE, OR EXECUTION AUTHORITY.","Official records remain in governed source systems. The kernel stores governed references, integrity values, evaluations, and reconstruction links without replacing the official record.","Qualified humans and authorized organizational roles remain accountable for binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated state but may not approve, release, override, resolve, or execute actions.","Control applicability must resolve to governed object types and identities.","Kernel primitive registration is a schema baseline, not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN SCHEMA REVIEW REQUIRED"
