"ComponentId","ComponentName","ComponentCategory","Purpose","RequiredFields","ValidationRule","FailureState","PrimaryOwnerLayer","Examples","GovernanceAuthorityBoundary","SourceOfTruthRule","HumanAccountabilityRule","DisplayBoundary","SilenceRule","DataBoundary","Step156Dependency","MaturityStatement","ReviewStatus"
"EAG-001","Governed Evidence Record","EVIDENCE","Represents one governed evidence item supporting, contradicting, or qualifying an assurance claim, authority evaluation, action, hold, escalation, or binding decision.","evidence_id; object_id; evidence_type; source_system_id; source_record_id; captured_at_utc; captured_by_actor_id; evidence_status; evidence_scope","Evidence must identify the canonical regulated object, source system, official record reference, capture time, accountable actor, scope, and status.","EVIDENCE_MISSING_OR_UNATTRIBUTED","CROSS-CUTTING ASSURANCE OS","Audit trail, approval record, laboratory result, batch event, identity record, device log, policy evaluation, signed document, sensor reading, or investigation record.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must use governed evidence records across discovery, development, manufacturing, release, distribution, and patient use.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-002","Evidence Source and Provenance Link","PROVENANCE","Connects evidence to its official source record, parent evidence, transformation, actor, time, and governed object.","provenance_id; evidence_id; object_id; source_system_id; source_record_id; parent_evidence_id; transformation_type; recorded_at_utc; recorded_by_actor_id","Derived or transformed evidence must preserve its parent reference, source record, transformation method, accountable actor, and time.","EVIDENCE_PROVENANCE_INCOMPLETE","CROSS-CUTTING ASSURANCE OS","AI-generated content derived from source documents, summarized audit evidence, transformed laboratory data, reconstructed event package, or converted regulatory submission content.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 claim-to-proof paths must preserve complete provenance.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-003","Evidence Integrity Seal","EVIDENCE INTEGRITY","Stores the cryptographic integrity seal for a governed evidence item.","seal_id; evidence_id; object_id; hash_algorithm; hash_value; sealed_field_scope; content_length; sealed_at_utc; sealed_by_actor_id; seal_status","The evidence item, object identity, field scope, algorithm, hash value, content length, time, and responsible actor must be complete.","EVIDENCE_INTEGRITY_SEAL_INVALID","CROSS-CUTTING ASSURANCE OS","SHA-256 seal over an evidence file, source record export, event payload, approval package, batch record, or regulatory document.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 evidence packages must support hashing and integrity verification.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-004","Evidence Rehash Verification","EVIDENCE INTEGRITY","Records whether current evidence still matches its original integrity seal.","rehash_id; seal_id; evidence_id; recalculated_hash; comparison_result; verified_at_utc; verified_by_actor_id; verification_status","The evidence must be recalculated using the original algorithm and declared field scope before comparison with the stored seal.","EVIDENCE_REHASH_MISMATCH","CROSS-CUTTING ASSURANCE OS","Inspection preparation, archive verification, transfer verification, submission review, audit reconstruction, or custody review.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must demonstrate rehash verification at lifecycle checkpoints.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-005","Evidence Sufficiency Assessment","EVIDENCE SUFFICIENCY","Determines whether the available evidence is sufficient, current, relevant, complete, attributable, and integrity-verified for the proposed action.","assessment_id; object_id; action_id; required_evidence_ids; present_evidence_ids; missing_evidence_ids; integrity_state; currency_state; relevance_state; evidence_sufficient; assessed_at_utc; rationale","Evidence is sufficient only when all mandatory evidence requirements are satisfied or a governed exception explicitly permits an alternative.","EVIDENCE_INSUFFICIENT","PLATFORM B1 / MVP2","Batch release evidence, clinical review evidence, DSCSA transaction evidence, compounding verification evidence, CAPA closure evidence, or AI action evidence.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 action gates must explicitly evaluate evidence_sufficient.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-006","Proposed Action Record","ACTION","Defines the action being proposed, its target object, requester, purpose, consequence, timing, source-system destination, and current state.","action_id; action_type; target_object_id; requested_by_actor_id; requested_at_utc; intended_source_system_id; action_purpose; consequence_level; requested_execution_window; action_state","An action must have a stable identity, canonical target object, accountable requester, declared purpose, consequence level, execution window, and destination.","ACTION_DEFINITION_INCOMPLETE","PLATFORM B1 / MVP2","Release batch, approve document, transmit submission, dispense preparation, transfer custody, execute AI tool call, authorize payment, or administer dose.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must model every major lifecycle transition as a proposed action.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-007","Action Consequence Classification","ACTION RISK","Classifies the potential consequence of an action to determine required evidence, authority, review, escalation, and No-Bind behavior.","classification_id; action_id; consequence_level; patient_impact; product_impact; quality_impact; regulatory_impact; financial_impact; security_impact; reversibility; classified_at_utc; classified_by","Consequence classification must consider applicable safety, quality, regulatory, operational, financial, security, and reversibility dimensions.","ACTION_CONSEQUENCE_UNCLASSIFIED","PLATFORM A / PLATFORM B1","Low-risk display update, medium-risk workflow routing, high-risk quality approval, or critical patient, release, financial, or autonomous action.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must classify consequence levels for all release and patient-facing actions.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-008","Actor and Role Identity Reference","ACTOR IDENTITY","Identifies the human, service, AI agent, device, or organizational role requesting, reviewing, approving, escalating, or executing an action.","actor_reference_id; actor_id; actor_type; role_id; organization_id; identity_verification_id; identity_state; role_state; valid_at_utc","The actor and role must resolve to governed identities and current identity verification before authority or accountability may bind.","ACTOR_OR_ROLE_IDENTITY_UNRESOLVED","CROSS-CUTTING ASSURANCE OS","Quality approver, investigator, pharmacist, batch releaser, clinician, AI agent, service identity, process owner, or regulatory signatory.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must distinguish human, AI-agent, device, and service identities.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-009","Authority Grant Record","AUTHORITY","Defines the authority granted to an actor or role for a specific action type, object scope, consequence level, and validity period.","authority_id; actor_id; role_id; authority_type; allowed_action_types; object_scope; consequence_scope; valid_from_utc; valid_to_utc; granted_by_actor_id; authority_status","Authority must identify the accountable actor or role, permitted actions, object scope, consequence scope, validity period, grantor, and status.","AUTHORITY_ABSENT_OR_UNDEFINED","HUMAN GOVERNANCE / PLATFORM B1","Batch-release authority, pharmacist verification authority, investigator authority, quality approval authority, delegated system-owner authority, or emergency authority.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must map authority grants to each binding lifecycle action.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-010","Authority Validity and Scope Evaluation","AUTHORITY EVALUATION","Evaluates whether the presented authority is present, valid, current, applicable to the object, and sufficient for the proposed action.","authority_evaluation_id; action_id; object_id; authority_id; authority_present; authority_valid; authority_current; authority_in_scope; authority_delegated; evaluated_at_utc; evaluation_result; rationale","Authority is sufficient only when it is present, valid, current, in scope, and compatible with any delegation and consequence restrictions.","AUTHORITY_INVALID_EXPIRED_OR_OUT_OF_SCOPE","PLATFORM B1 / MVP2","Expired training or delegation, wrong site authority, wrong product scope, insufficient consequence authority, or invalid delegated approval.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must evaluate authority_present, authority_valid, authority_current, and authority_delegated.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
