"ModuleId","ModuleName","OwnerLayer","BoundaryStatus","BaselineClassification","HumanReviewStatus","RawStep148Classification","MatchedFileCount","ImplementationFileCount","DeclaredActiveSourceCount","DeclaredAuthoritativeEvidenceCount","RetainedEvidencePathCount","ExcludedEvidencePathCount","DeclaredExcludedEvidenceCount","TestFileCount","ValidatorFileCount","ManifestFileCount","TemplateFileCount","DocumentationFileCount","RawDiscoveryRouteCount","DuplicateEvidenceGroups","LegacyStatusTerms","TopLevelRoots","RetainedEvidencePaths","ExcludedEvidencePaths","RawReviewFlags","ReviewRationale","Notes"
"CORE_APP","Current Azure-Hosted COBIT-Chain Application","Core Application","ACTIVE","BUILT / existing","REVIEW REQUIRED BEFORE STEP 149","PROTOTYPE WORKING","467","2","2","5","5","0","462","0","0","0","0","2","2","0","","",".github\workflows\main_cobitchain-app-demo.yml | app.py | platform_b_mvp\functions\function_app.py | platform_b_mvp\functions\requirements.txt | requirements.txt","","HISTORICAL / PATCH EVIDENCE EXCLUDED; RUNTIME EVIDENCE WITHOUT DIRECT TEST / VALIDATOR","Current implementation evidence exists after the specified historical and patch artifacts were excluded. Independent maturity verification remains required.",""
"CLINICAL_TRIAL","Clinical Trial / Real-Time Clinical Trial Assurance","Life-Sciences Assurance","ACTIVE — TOP-TIER DEMONSTRATION","BUILT / existing","REVIEW REQUIRED BEFORE STEP 149","BUILD IN PROGRESS","13","1","1","3","3","0","10","0","0","0","0","2","0","0","d3 roadmap; deferred; future capability; future concept; future roadmap; later enhancement; mvp3; not now; roadmap only; roadmap-only","","platform_b_mvp\MVP_AZURE_ENDPOINT_TEST_PASS.md | platform_b_mvp\PLATFORM_B_V2_AGENT_PROTOCOL_ASSURANCE_BACKLOG.md | STEP_148_EXISTING_REPO_MODULE_INVENTORY.ps1","","HISTORICAL / PATCH EVIDENCE EXCLUDED; REQUIRES VERIFICATION","Current implementation evidence exists after the specified historical and patch artifacts were excluded. Independent maturity verification remains required.",""
"COMPOUNDING","Compounding Pharmacy Assurance","Life-Sciences Assurance","ACTIVE — TOP-TIER COMMERCIALIZATION","PROTOTYPE WORKING","REVIEW REQUIRED BEFORE STEP 149","PROTOTYPE WORKING","24","1","1","24","12","0","0","1","0","1","0","1","0","0","d3 roadmap; deferred; future capability; future concept; future roadmap; later enhancement; mvp3; not now; roadmap only; roadmap-only","","sterile_compounding_audit_pack_register.csv | sterile_compounding_connector_approval_board.csv | sterile_compounding_connector_test_cases.csv | sterile_compounding_custody_audit_link_register.csv | sterile_compounding_custody_health_register.csv | sterile_compounding_data_contract_register.csv | sterile_compounding_field_mapping_matrix.csv | sterile_compounding_implementation_decision_matrix.csv | sterile_compounding_lineage_register.csv | sterile_compounding_mock_ingestion_lab.csv | sterile_compounding_nonprod_poc_plan.csv | sterile_compounding_platform_health_entry.csv","","REQUIRES VERIFICATION","Current implementation evidence and local test, validator, or manifest evidence exist. This supports a working prototype baseline only, not production maturity.",""
"DSCSA","DSCSA / EPCIS / Supply-Chain Assurance","Life-Sciences Assurance","ACTIVE — TOP-TIER COMMERCIALIZATION","PROTOTYPE WORKING","REVIEW REQUIRED BEFORE STEP 149","PROTOTYPE WORKING","50","2","2","40","12","0","10","6","7","0","0","12","0","0","d3 roadmap; deferred; future capability; future concept; future roadmap; later enhancement; mvp3; not now; roadmap only; roadmap-only","","platform_b1_mvp2\dscsa\dscsa_evidence_integrity_exception_assurance_addendum.json | platform_b1_mvp2\dscsa\DSCSA_EVIDENCE_INTEGRITY_EXCEPTION_ASSURANCE_ADDENDUM.md | platform_b1_mvp2\extension_catalogue\manufacturing_supply_chain_extension_catalogue.json | platform_b1_mvp2\extension_catalogue\MANUFACTURING_SUPPLY_CHAIN_EXTENSION_CATALOGUE.md | platform_b1_mvp2\PLATFORM_B1_MVP2_PRIORITY_SCOPE_LOCK.md | platform_b1_mvp2\priority_scope_lock.json | platform_b1_mvp2\regulated_operations_digital_twin\mock_fixtures\dscsa_late_epcis_vrs_no_response_exception.json | platform_b1_mvp2\regulated_operations_digital_twin\regulated_operations_digital_twin_object_model.json | platform_b1_mvp2\regulated_operations_digital_twin\REGULATED_OPERATIONS_DIGITAL_TWIN_OBJECT_MODEL.md | platform_b1_mvp2\tests\test_dscsa_evidence_integrity_addendum.py | platform_b1_mvp2\tests\test_manufacturing_supply_chain_extension_catalogue.py | STEP_148_EXISTING_REPO_MODULE_INVENTORY.ps1","","HISTORICAL / PATCH EVIDENCE EXCLUDED; REQUIRES VERIFICATION","Current implementation evidence and local test, validator, or manifest evidence exist. This supports a working prototype baseline only, not production maturity.",""
"IRLT","IRLT / Radiopharma Assurance","Life-Sciences Assurance","ACTIVE — TOP-TIER COMMERCIALIZATION","NEEDS CONSOLIDATION","REVIEW REQUIRED BEFORE STEP 149","PROTOTYPE WORKING","283","6","6","61","10","2","222","8","7","0","5","22","2","0","d3 roadmap; deferred; future capability; future concept; future roadmap; later enhancement; mvp3; not now; roadmap only; roadmap-only","","irlt_registry_v2_extend_modules.py | irlt_registry_v2_extend_modules_2.py | platform_b_mvp\v0_5_ambient_operational_trust_fabric\IRLT_DOSE_TIME_ASSURANCE_DEMO.md | platform_b1_mvp2\irlt_radiopharma\irlt_radiopharma_operations_first_tier_addendum.json | platform_b1_mvp2\irlt_radiopharma\IRLT_RADIOPHARMA_OPERATIONS_FIRST_TIER_ADDENDUM.md | platform_b1_mvp2\regulated_operations_digital_twin\mock_fixtures\irlt_equipment_ci_quality_handoff_review.json | platform_b1_mvp2\tests\test_irlt_radiopharma_operations_addendum.py | routes.txt | STEP_148_EXISTING_REPO_MODULE_INVENTORY.ps1 | wide_evidence_lineage_layout.py","patch_commercialization_stress_test.py | patch_rlttrust_final_qa_smoke_test.py","HISTORICAL / PATCH EVIDENCE EXCLUDED; NEEDS CONSOLIDATION; REQUIRES VERIFICATION","Current evidence exists, but Step 148 also identified fragmentation, duplicate evidence, multiple roots, or historical implementation artifacts requiring canonical consolidation.",""
"CITRUST","CITrust / ServiceNow / CMDB Governance Assurance","Operational Assurance","ACTIVE","NEEDS CONSOLIDATION","REVIEW REQUIRED BEFORE STEP 149","PROTOTYPE WORKING","363","3","3","113","12","0","250","4","6","2","20","49","0","0","d3 roadmap; deferred; future capability; future concept; future roadmap; later enhancement; mvp3; not now; roadmap only; roadmap-only","","platform_ab_command_center.html | platform_agentic_enterprise_blueprint.html | platform_ai_enabled_cmc_blueprint.html | platform_api_blueprint_command_center.html | platform_architecture_command_center.html | platform_b_enterprise_control_layer_assurance_patch_v1_summary.json | platform_b_mvp\PLATFORM_B_V2_MEANING_TO_ACTION_ASSURANCE_BACKLOG.md | platform_evidence_store_command_center.html | platform_mcp_server_command_center.html | STEP_148_EXISTING_REPO_MODULE_INVENTORY.ps1 | thread-d\ramat-context-witness-mvp\demo\index.html | thread-d\ramat-context-witness-mvp\demo\ramat-context-witness-demo.html","","HISTORICAL / PATCH EVIDENCE EXCLUDED; NEEDS CONSOLIDATION; REQUIRES VERIFICATION","Current evidence exists, but Step 148 also identified fragmentation, duplicate evidence, multiple roots, or historical implementation artifacts requiring canonical consolidation.",""
"CUTOVERTRUST","CutoverTrust","Operational Assurance","ACTIVE","BUILT / existing","REVIEW REQUIRED BEFORE STEP 149","BUILD IN PROGRESS","11","1","1","4","4","0","7","0","0","0","3","0","0","0","d3 roadmap; deferred; future capability; future concept; future roadmap; later enhancement; mvp3; not now; roadmap only; roadmap-only","","platform_ai_assurance_operational_release_gate.html | platform_ai_assurance_post_release_monitoring.html | platform_ai_lifecycle_change_assurance.html | STEP_148_EXISTING_REPO_MODULE_INVENTORY.ps1","","HISTORICAL / PATCH EVIDENCE EXCLUDED; REQUIRES VERIFICATION","Current implementation evidence exists after the specified historical and patch artifacts were excluded. Independent maturity verification remains required.",""
"OPERATIONAL_TRUST","Operational Trust","Operational Assurance","ACTIVE","NEEDS CONSOLIDATION","REVIEW REQUIRED BEFORE STEP 149","PROTOTYPE WORKING","239","2","2","212","12","0","27","2","0","4","67","101","0","0","d3 roadmap; deferred; future capability; future concept; future roadmap; later enhancement; mvp3; not now; roadmap only; roadmap-only","","platform_ai_operational_readiness.html | platform_b_enterprise_ai_adoption_agent_operational_trust_patch_v1_summary.json | platform_b_mvp\demo_console\operational_trust_score_console.html | platform_b_mvp\v0_5_ambient_operational_trust_fabric\AZURE_IOT_BACKBONE_PLAN.md | platform_b_mvp\v0_5_ambient_operational_trust_fabric\BUYING_AND_COMPONENTS_REGISTER.md | platform_b_mvp\v0_5_ambient_operational_trust_fabric\CHRIS_MULTI_DEMO_SCRIPT.md | platform_b_mvp\v0_5_ambient_operational_trust_fabric\demo_console\index.html | platform_b_mvp\v0_5_ambient_operational_trust_fabric\demo_console\V0_5_DEMO_CONSOLE_MANIFEST.md | platform_b_mvp\v0_5_ambient_operational_trust_fabric\DEVICE_AGNOSTIC_CONTEXT_WITNESS_SCHEMA.md | platform_b_mvp\v0_5_ambient_operational_trust_fabric\PLATFORM_B_V0_5_AMBIENT_OPERATIONAL_TRUST_FABRIC.md | platform_b_mvp\v0_5_ambient_operational_trust_fabric\V0_5_GITHUB_RELEASE_NOTES.md | platform_b_mvp\v0_5_ambient_operational_trust_fabric\V0_5_PULL_REQUEST_BODY.md","","DUPLICATE / RENAMED; HISTORICAL / PATCH EVIDENCE EXCLUDED; NEEDS CONSOLIDATION; REQUIRES VERIFICATION","Current evidence exists, but Step 148 also identified fragmentation, duplicate evidence, multiple roots, or historical implementation artifacts requiring canonical consolidation.",""
"PLATFORM_A","Platform A — Assurance Design Plane","Platform A","ACTIVE","NEEDS CONSOLIDATION","REVIEW REQUIRED BEFORE STEP 149","PROTOTYPE WORKING","332","1","1","133","12","0","199","2","0","0","56","54","0","0","d3 roadmap; deferred; future capability; future concept; future roadmap; later enhancement; mvp3; not now; roadmap only; roadmap-only","","platform_ab_command_center.html | platform_action_assurance_workflow.html | platform_agentic_action_assurance_flow.html | platform_agentic_enterprise_blueprint.html | platform_ai_accountability_raci.html | platform_ai_architecture_assurance.html | platform_ai_assurance_control_router.html | platform_ai_assurance_knowledge_reuse_registry.html | platform_ai_assurance_remediation_queue.html | platform_ai_enabled_cmc_blueprint.html | platform_ai_team_assurance.html | platform_api_blueprint_command_center.html","","HISTORICAL / PATCH EVIDENCE EXCLUDED; NEEDS CONSOLIDATION; REQUIRES VERIFICATION","Current evidence exists, but Step 148 also identified fragmentation, duplicate evidence, multiple roots, or historical implementation artifacts requiring canonical consolidation.",""
"PLATFORM_B_V1","Platform B v1 — Frozen Action Admissibility Kernel","Platform B v1 — FROZEN","FROZEN — DO NOT REOPEN","ARCHITECTURE LOCKED","REVIEW REQUIRED BEFORE STEP 149","ARCHITECTURE LOCKED","265","2","2","255","12","0","10","0","0","10","70","147","0","0","d3 roadmap; deferred; future capability; future concept; future roadmap; later enhancement; mvp3; not now; roadmap only; roadmap-only","","platform_b_mvp\API_CONTRACT.md | platform_b_mvp\demo_console\action_admissibility_console.html | platform_b_mvp\demo_seed_data\demo_action_admissibility_records.json | platform_b_mvp\docs\PLATFORM_B_MVP_AZURE_DEPLOYMENT_CLOSEOUT.md | platform_b_mvp\functions\function_app.py | platform_b_mvp\MVP_AZURE_ENDPOINT_TEST_PASS.md | platform_b_mvp\MVP_EVIDENCE_PACKAGE_INDEX.md | platform_b_mvp\MVP_IP_FUNDING_EVIDENCE_COVER_NOTE.md | platform_b_mvp\MVP_PHD_FUNDING_OUTREACH_BRIEF.md | platform_b_mvp\MVP_RELEASE_PROOF_SUMMARY.md | platform_b_mvp\README.md | platform_b_mvp\v0_6_operational_trust_passport_evidence_mesh\ACTION_ADMISSIBILITY_LEDGER_SCHEMA.md","","FROZEN — DO NOT REOPEN; HISTORICAL / PATCH EVIDENCE EXCLUDED; REQUIRES VERIFICATION","Governance boundary override: Platform B v1 remains the frozen six-function core. Raw route totals and historical files do not change this boundary.",""
