mapping_id,system_key,system_name,source_object,source_field,target_register,target_field,mapping_type,required_for_mvp,data_quality_rule,governance_use,risk_if_missing,mapping_status,mapping_score,last_checked,mapping_hash
ST-MAP-71A6EC435FAA,servicenow,ServiceNow,incident/change/task,number,sterile_compounding_register.csv,external_reference_id,Reference,YES,Must be unique if provided,Link CSP to ticket/change/task evidence,Cannot trace operational workflow reference,GREEN,80,2026-05-12 23:01:46 UTC,8750f1657d251a563095917fd9bc55699f4258c2fe99c83d9fb10edc10a5bf68
ST-MAP-F6598A9C277F,servicenow,ServiceNow,incident/change/task,state,sterile_compounding_review_register.csv,workflow_status,Status,NO,Must map to controlled status values,Show workflow state in review context,Workflow evidence may be stale,YELLOW,70,2026-05-12 23:01:46 UTC,a90935981a626f245de91d2c2a5421a0a2c49d80c7ac471926cfdecc74e5ac85
ST-MAP-07077AAC06D3,servicenow,ServiceNow,kb_knowledge,number,sterile_compounding_auditor_qa_register.csv,evidence_route,Reference,NO,Route or article reference must be resolvable,Link Q&A to supporting knowledge,Auditor answer may lack support link,YELLOW,65,2026-05-12 23:01:46 UTC,debba90ab14475286abac11c6b76f83ccdf6612a9a7ce4647cd48bd4f44abef2
ST-MAP-E42CA3D9C6CE,veeva,Veeva Vault / QMS,document,document_id,sterile_compounding_sop_formula_register.csv,sop_id,Reference,YES,Document ID must be controlled and versioned,Map CSP to controlled SOP/formula,SOP linkage becomes manual,GREEN,85,2026-05-12 23:01:46 UTC,57670f871f9d53d136ff6fc7db5054c53e3993d4674e3eef69104814e0fa50da
ST-MAP-85058F8A4294,veeva,Veeva Vault / QMS,document,version,sterile_compounding_sop_formula_register.csv,sop_version,Version,YES,Version must match effective controlled document,Detect SOP/formula drift,Version mismatch may be missed,GREEN,85,2026-05-12 23:01:46 UTC,368821b794ffb788cfe0e251d48b2203b236c914d518404c6b0fc49e440821e7
ST-MAP-F93E683E3F3A,veeva,Veeva Vault / QMS,deviation,deviation_id,sterile_compounding_master_assurance_register.csv,deviation_reference,Reference,NO,Deviation ID must be valid when present,Show deviation/CAPA dependency in assurance,Open deviations may not be visible,YELLOW,75,2026-05-12 23:01:46 UTC,7573c3b82bce044203ee60d6247c077111cc9aa8c0adb2ae09e02b46de0b13cf
ST-MAP-960D40E12028,veeva,Veeva Vault / QMS,capa,capa_id,sterile_compounding_recovery_plan_register.csv,blocker_summary,Reference,NO,CAPA reference should be linked to closure action,Connect recovery plan to QMS action,Recovery may not align to QMS,YELLOW,70,2026-05-12 23:01:46 UTC,8bece1cefe0c7068922aed0cafae863426bb60bcdcba8b55fe6fe30ba8a7a285
ST-MAP-959539821614,blue-mountain,Blue Mountain RAM,asset,asset_id,sterile_compounding_equipment_room_register.csv,equipment_id,Reference,YES,Asset ID must match validated asset record,Map CSP to equipment/room readiness,Equipment readiness cannot be proven,GREEN,85,2026-05-12 23:01:46 UTC,fc35c69d57513d3d23006def4928267326f08f2baf52d2bc43ed769a6cecaae3
ST-MAP-1B4CF7C42358,blue-mountain,Blue Mountain RAM,work_order,work_order_id,sterile_compounding_equipment_room_drift_register.csv,maintenance_reference,Reference,NO,Work order must be complete or justified,Support maintenance/calibration readiness,Maintenance evidence gap,YELLOW,75,2026-05-12 23:01:46 UTC,cfbc724725b3a318fa534968e7966b86d9533fbb569feb821ac0256750128ad1
ST-MAP-E5FAF7550074,blue-mountain,Blue Mountain RAM,asset,calibration_status,sterile_compounding_equipment_room_drift_register.csv,equipment_room_drift_status,Status,YES,Map valid/expired/due status to GREEN/YELLOW/RED,Drive equipment drift decision,Incorrect room/equipment status,GREEN,85,2026-05-12 23:01:46 UTC,3fd2d4ab11fdd66d584b00fa2a670dca3900f86937ef42c705330dfad57eeeb3
ST-MAP-85F5B35FE9A1,myaccess,myAccess,access_review,user_id,sterile_compounding_personnel_competency_register.csv,person_key,Identity,YES,User ID must resolve to approved personnel,Link personnel to access/role evidence,Personnel access evidence missing,GREEN,80,2026-05-12 23:01:46 UTC,8562512bbc67f36242e817fd82e29424e15b367edb1e85465476e71fb7c7ca4b
ST-MAP-4F683EA85495,myaccess,myAccess,access_review,access_status,sterile_compounding_personnel_drift_register.csv,personnel_drift_status,Status,YES,Approved/active required for GREEN,Drive personnel readiness status,Unauthorized or stale access may be missed,GREEN,85,2026-05-12 23:01:46 UTC,db8865c345b4bc2f3a75fe7836e325825e68f76fd7145ada09b7ad261b821547
