"StageId","StageName","LifecyclePhase","PrimaryRegulatedObject","ProposedAction","RequiredEvidence","CriticalDependencies","RequiredHumanAuthority","ActionConsequenceLevel","NoBindTriggers","OfficialSourceSystems","FirstTierTrackCoverage","PlatformAFunction","PlatformBv1Function","PlatformB1Function","ThreadCFunction","ThreadDv1Function","ThreadD2Function","RamatDisplayStates","AssuranceOutcome","DecisionBoundary","ExecutionBoundary","DisplayBoundary","SourceOfTruthBoundary","DataBoundary","DemoStatus","ReviewStatus","Step157Readiness"
"A17-01","Target Discovery and Unmet-Need Definition","DISCOVERY","AURORA-17 discovery program","Authorize progression from disease hypothesis to governed discovery program.","Disease rationale; target evidence; literature provenance; patient-need statement; research protocol; data-source inventory; AI use-case registration; conflict disclosures.","Approved research purpose; traceable data sources; accountable program owner; ethical use boundaries; model-use approval; evidence provenance.","Discovery lead, medical authority, research governance owner, data steward, and ethics authority.","MODERATE","Unapproved research purpose; missing evidence provenance; unidentified program owner; AI model outside approved use; unresolved conflict of interest.","Research repository, ELN, document-management system, AI use-case registry, and governance repository.","IRLT FOUNDATION","Registers the use case, regulated objects, stakeholders, systems, risks, controls, ownership, and governance context.","Uses only the frozen Platform B v1 capabilities: AI Use Case Registry, Assurance Check API, Evidence Upload, Operational Trust Score, Action Admissibility Record, and Wearable Endpoint Simulator.","Evaluates object identity, evidence integrity, hashing, rehashing, provenance, workflow dependencies, authority, timing, accountability, No-Bind state, admissibility, and reconstruction.","Converts controlled demonstration findings into Assurance Engineering research, publication, doctrine, case studies, and teaching material.","Displays or witnesses Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","Displays Platform B1 evaluated state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","EVIDENCE INSUFFICIENT; HUMAN AUTHORITY REQUIRED; ACTION HELD; ACTION ADMISSIBLE","Traceable and governed discovery-program initiation.","Platform B and Platform B1 evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Action admissibility is not execution. Official execution occurs only through the authorized human process and governed source system.","RAMAT Vision, Thread D, Thread D2, glasses, wearables, dashboards, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, rehash, evaluate, reconstruct, and display evidence without replacing the official record.","Fictional molecule, synthetic records, mock identities, simulator-first, local-validation-first, and no PHI or company production data.","DESIGN-ONLY FLAGSHIP DEMONSTRATION STAGE","HUMAN DESIGN REVIEW REQUIRED","READY AFTER STEP 156 FLAGSHIP DEMO DESIGN REVIEW"
"A17-02","AI-Assisted Candidate and Ligand Design","DISCOVERY","AURORA-17 candidate design and AI recommendation set","Select the fictional AURORA-17 radioligand candidate for experimental evaluation.","Model identity; approved-use record; training-data provenance; prompt and output evidence; candidate-ranking rationale; scientist review; design-version history; evidence seals.","Model approved for use; agent identity; tool-call evidence; candidate-version identity; scientist accountability; evidence sufficiency; no unresolved identity conflict.","Medicinal chemistry lead, radiochemistry lead, model owner, research governance authority, and accountable scientist.","HIGH","Unknown model version; missing training-data provenance; unauthorized tool call; no accountable scientist; candidate identity conflict; unexplained AI recommendation.","Model registry, ELN, computational chemistry platform, controlled file repository, and governance system.","IRLT FOUNDATION","Registers the use case, regulated objects, stakeholders, systems, risks, controls, ownership, and governance context.","Uses only the frozen Platform B v1 capabilities: AI Use Case Registry, Assurance Check API, Evidence Upload, Operational Trust Score, Action Admissibility Record, and Wearable Endpoint Simulator.","Evaluates object identity, evidence integrity, hashing, rehashing, provenance, workflow dependencies, authority, timing, accountability, No-Bind state, admissibility, and reconstruction.","Converts controlled demonstration findings into Assurance Engineering research, publication, doctrine, case studies, and teaching material.","Displays or witnesses Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","Displays Platform B1 evaluated state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","AUTHORITY ABSENT; EVIDENCE INSUFFICIENT; HUMAN ACCOUNTABILITY MISSING; NO-BIND STATE ACTIVE; ACTION ADMISSIBLE","Human-reviewed AI recommendation with claim-to-proof traceability.","Platform B and Platform B1 evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Action admissibility is not execution. Official execution occurs only through the authorized human process and governed source system.","RAMAT Vision, Thread D, Thread D2, glasses, wearables, dashboards, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, rehash, evaluate, reconstruct, and display evidence without replacing the official record.","Fictional molecule, synthetic records, mock identities, simulator-first, local-validation-first, and no PHI or company production data.","DESIGN-ONLY FLAGSHIP DEMONSTRATION STAGE","HUMAN DESIGN REVIEW REQUIRED","READY AFTER STEP 156 FLAGSHIP DEMO DESIGN REVIEW"
"A17-03","Preclinical Characterization and Translational Evidence","PRECLINICAL","AURORA-17 preclinical evidence package","Authorize progression to regulated clinical-development preparation.","Analytical characterization; radiochemical identity; stability; biodistribution; dosimetry; toxicology; pharmacology; study protocols; raw data; QA review; evidence integrity seals.","Study identity; protocol version; sample identity; instrument calibration; raw-data integrity; QA review; result-source agreement; complete study reports.","Preclinical lead, toxicologist, radiation-safety authority, QA reviewer, medical authority, and program governance board.","HIGH","Missing raw data; failed rehash; sample mismatch; unreviewed protocol deviation; expired instrument calibration; incomplete QA review.","ELN, LIMS, instrument systems, SDMS, study-management platform, eQMS, and document repository.","IRLT FOUNDATION","Registers the use case, regulated objects, stakeholders, systems, risks, controls, ownership, and governance context.","Uses only the frozen Platform B v1 capabilities: AI Use Case Registry, Assurance Check API, Evidence Upload, Operational Trust Score, Action Admissibility Record, and Wearable Endpoint Simulator.","Evaluates object identity, evidence integrity, hashing, rehashing, provenance, workflow dependencies, authority, timing, accountability, No-Bind state, admissibility, and reconstruction.","Converts controlled demonstration findings into Assurance Engineering research, publication, doctrine, case studies, and teaching material.","Displays or witnesses Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","Displays Platform B1 evaluated state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","EVIDENCE INSUFFICIENT; TIMING INVALID; ACTION HELD; ESCALATION REQUIRED; ACTION ADMISSIBLE","Defensible preclinical package with sample-to-result provenance.","Platform B and Platform B1 evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Action admissibility is not execution. Official execution occurs only through the authorized human process and governed source system.","RAMAT Vision, Thread D, Thread D2, glasses, wearables, dashboards, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, rehash, evaluate, reconstruct, and display evidence without replacing the official record.","Fictional molecule, synthetic records, mock identities, simulator-first, local-validation-first, and no PHI or company production data.","DESIGN-ONLY FLAGSHIP DEMONSTRATION STAGE","HUMAN DESIGN REVIEW REQUIRED","READY AFTER STEP 156 FLAGSHIP DEMO DESIGN REVIEW"
"A17-04","Clinical-Supply and Investigational Manufacturing Readiness","CLINICAL SUPPLY","AURORA-17 investigational clinical-supply batch","Authorize manufacture of investigational AURORA-17 clinical supply.","Master batch record; material genealogy; supplier status; equipment qualification; operator training; environmental readiness; recipe version; change-control status; line clearance.","Approved process; qualified equipment; released materials; current training; active recipe; facility readiness; approved change control; material and batch identity.","Manufacturing owner, process engineer, qualified operator, validation representative, Quality Unit, and radiation-safety authority.","CRITICAL","Material on hold; equipment calibration overdue; wrong recipe version; incomplete line clearance; operator qualification missing; Quality approver unavailable.","MES, ERP, LIMS, eQMS, training system, equipment system, BMS/EMS, and document repository.","IRLT FIRST-TIER TRACK","Registers the use case, regulated objects, stakeholders, systems, risks, controls, ownership, and governance context.","Uses only the frozen Platform B v1 capabilities: AI Use Case Registry, Assurance Check API, Evidence Upload, Operational Trust Score, Action Admissibility Record, and Wearable Endpoint Simulator.","Evaluates object identity, evidence integrity, hashing, rehashing, provenance, workflow dependencies, authority, timing, accountability, No-Bind state, admissibility, and reconstruction.","Converts controlled demonstration findings into Assurance Engineering research, publication, doctrine, case studies, and teaching material.","Displays or witnesses Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","Displays Platform B1 evaluated state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","NO-BIND STATE ACTIVE; ACTION HELD; APPROVER UNAVAILABLE; DOCUMENTED PAUSE CREATED; HUMAN AUTHORITY REQUIRED","Manufacturing-readiness decision supported by dependency and authority evidence.","Platform B and Platform B1 evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Action admissibility is not execution. Official execution occurs only through the authorized human process and governed source system.","RAMAT Vision, Thread D, Thread D2, glasses, wearables, dashboards, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, rehash, evaluate, reconstruct, and display evidence without replacing the official record.","Fictional molecule, synthetic records, mock identities, simulator-first, local-validation-first, and no PHI or company production data.","DESIGN-ONLY FLAGSHIP DEMONSTRATION STAGE","HUMAN DESIGN REVIEW REQUIRED","READY AFTER STEP 156 FLAGSHIP DEMO DESIGN REVIEW"
"A17-05","IND or CTA Readiness and Submission Authorization","REGULATORY ENTRY","AURORA-17 investigational regulatory submission package","Authorize submission of the fictional AURORA-17 IND or CTA package.","CMC content; preclinical reports; clinical protocol; investigator brochure; safety rationale; claim-to-proof map; document approvals; submission versions; regulatory review records.","Current document versions; approved claims; source evidence available; accountable authors; Quality review; medical review; regulatory signatory authority.","Regulatory lead, medical signatory, CMC authority, nonclinical authority, Quality Unit, and authorized submission owner.","CRITICAL","Unsupported claim; stale document; missing approval; signatory authority absent; source-document mismatch; unresolved AI-generated content concern.","RIM, document-management system, eQMS, clinical repository, LIMS, ELN, and submission gateway.","IRLT FIRST-TIER TRACK","Registers the use case, regulated objects, stakeholders, systems, risks, controls, ownership, and governance context.","Uses only the frozen Platform B v1 capabilities: AI Use Case Registry, Assurance Check API, Evidence Upload, Operational Trust Score, Action Admissibility Record, and Wearable Endpoint Simulator.","Evaluates object identity, evidence integrity, hashing, rehashing, provenance, workflow dependencies, authority, timing, accountability, No-Bind state, admissibility, and reconstruction.","Converts controlled demonstration findings into Assurance Engineering research, publication, doctrine, case studies, and teaching material.","Displays or witnesses Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","Displays Platform B1 evaluated state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","AUTHORITY ABSENT; EVIDENCE INSUFFICIENT; NO-BIND STATE ACTIVE; ESCALATION REQUIRED; SOURCE-SYSTEM EXECUTION REQUIRED","AI-readable, provenance-backed regulatory submission passport.","Platform B and Platform B1 evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Action admissibility is not execution. Official execution occurs only through the authorized human process and governed source system.","RAMAT Vision, Thread D, Thread D2, glasses, wearables, dashboards, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, rehash, evaluate, reconstruct, and display evidence without replacing the official record.","Fictional molecule, synthetic records, mock identities, simulator-first, local-validation-first, and no PHI or company production data.","DESIGN-ONLY FLAGSHIP DEMONSTRATION STAGE","HUMAN DESIGN REVIEW REQUIRED","READY AFTER STEP 156 FLAGSHIP DEMO DESIGN REVIEW"
"A17-06","Phase I First-in-Human Readiness","CLINICAL PHASE I","AURORA-17 Phase I protocol and first-patient readiness state","Authorize first-patient enrollment and dosing readiness.","Protocol approval; site activation; informed-consent version; investigator delegation; pharmacy readiness; dose availability; safety monitoring plan; participant eligibility evidence.","Site active; investigator authorized; consent current; participant identity verified; dose and visit window valid; pharmacy and radiation-safety readiness.","Principal investigator, sponsor medical monitor, clinical operations, pharmacist, radiation-safety authority, and site Quality authority.","CRITICAL","Consent mismatch; participant identity conflict; investigator delegation expired; dose unavailable; site not active; medical monitor unavailable.","CTMS, EDC, eTMF, IRT/RTSM, pharmacy system, EHR, safety system, and document repository.","IRLT FIRST-TIER TRACK","Registers the use case, regulated objects, stakeholders, systems, risks, controls, ownership, and governance context.","Uses only the frozen Platform B v1 capabilities: AI Use Case Registry, Assurance Check API, Evidence Upload, Operational Trust Score, Action Admissibility Record, and Wearable Endpoint Simulator.","Evaluates object identity, evidence integrity, hashing, rehashing, provenance, workflow dependencies, authority, timing, accountability, No-Bind state, admissibility, and reconstruction.","Converts controlled demonstration findings into Assurance Engineering research, publication, doctrine, case studies, and teaching material.","Displays or witnesses Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","Displays Platform B1 evaluated state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","HUMAN ACCOUNTABILITY MISSING; APPROVER UNAVAILABLE; NO-BIND STATE ACTIVE; ACTION HELD; HUMAN AUTHORITY REQUIRED","Identity-, consent-, authority-, dose-, and site-ready first-patient decision.","Platform B and Platform B1 evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Action admissibility is not execution. Official execution occurs only through the authorized human process and governed source system.","RAMAT Vision, Thread D, Thread D2, glasses, wearables, dashboards, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, rehash, evaluate, reconstruct, and display evidence without replacing the official record.","Fictional molecule, synthetic records, mock identities, simulator-first, local-validation-first, and no PHI or company production data.","DESIGN-ONLY FLAGSHIP DEMONSTRATION STAGE","HUMAN DESIGN REVIEW REQUIRED","READY AFTER STEP 156 FLAGSHIP DEMO DESIGN REVIEW"
"A17-07","Phase II Dose and Efficacy Progression","CLINICAL PHASE II","AURORA-17 Phase II dose and efficacy evidence package","Authorize progression of the selected dose and trial strategy.","Dose-response data; safety data; imaging evidence; laboratory evidence; protocol deviations; statistical analysis; model-assisted interpretation; medical and data-review records.","Participant identity; data-lock state; source-data verification; imaging and laboratory agreement; model-use approval; safety review; statistical review.","Medical monitor, principal investigators, data-management lead, statistician, safety committee, and sponsor governance board.","CRITICAL","Unresolved serious safety signal; incomplete data review; model outside approved use; laboratory mismatch; imaging-source conflict; unavailable safety authority.","EDC, CTMS, eTMF, imaging repository, LIMS, safety system, statistical platform, and model registry.","IRLT FIRST-TIER TRACK","Registers the use case, regulated objects, stakeholders, systems, risks, controls, ownership, and governance context.","Uses only the frozen Platform B v1 capabilities: AI Use Case Registry, Assurance Check API, Evidence Upload, Operational Trust Score, Action Admissibility Record, and Wearable Endpoint Simulator.","Evaluates object identity, evidence integrity, hashing, rehashing, provenance, workflow dependencies, authority, timing, accountability, No-Bind state, admissibility, and reconstruction.","Converts controlled demonstration findings into Assurance Engineering research, publication, doctrine, case studies, and teaching material.","Displays or witnesses Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","Displays Platform B1 evaluated state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","EVIDENCE INSUFFICIENT; ESCALATION REQUIRED; ACTION INADMISSIBLE; NO-BIND STATE ACTIVE; ACTION ADMISSIBLE","Defensible dose-progression decision with complete human accountability.","Platform B and Platform B1 evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Action admissibility is not execution. Official execution occurs only through the authorized human process and governed source system.","RAMAT Vision, Thread D, Thread D2, glasses, wearables, dashboards, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, rehash, evaluate, reconstruct, and display evidence without replacing the official record.","Fictional molecule, synthetic records, mock identities, simulator-first, local-validation-first, and no PHI or company production data.","DESIGN-ONLY FLAGSHIP DEMONSTRATION STAGE","HUMAN DESIGN REVIEW REQUIRED","READY AFTER STEP 156 FLAGSHIP DEMO DESIGN REVIEW"
"A17-08","Phase III Confirmatory Evidence and Data-Lock Readiness","CLINICAL PHASE III","AURORA-17 pivotal-trial evidence package","Authorize pivotal-trial data lock and regulatory-evidence finalization.","Cleaned clinical data; resolved queries; safety reconciliation; protocol-deviation review; site-monitoring evidence; statistical analysis plan; audit trails; data-lock approvals.","EDC and safety reconciliation; site closure status; query resolution; coding completion; data-review completion; statistical readiness; accountable data-lock authority.","Data-management authority, medical monitor, statistician, clinical operations, safety authority, Quality Unit, and authorized data-lock approver.","CRITICAL","Unresolved critical query; safety mismatch; missing monitoring evidence; incomplete deviation review; approver unavailable; audit-trail gap.","EDC, CTMS, eTMF, safety system, coding platform, statistical system, and quality repository.","IRLT FIRST-TIER TRACK","Registers the use case, regulated objects, stakeholders, systems, risks, controls, ownership, and governance context.","Uses only the frozen Platform B v1 capabilities: AI Use Case Registry, Assurance Check API, Evidence Upload, Operational Trust Score, Action Admissibility Record, and Wearable Endpoint Simulator.","Evaluates object identity, evidence integrity, hashing, rehashing, provenance, workflow dependencies, authority, timing, accountability, No-Bind state, admissibility, and reconstruction.","Converts controlled demonstration findings into Assurance Engineering research, publication, doctrine, case studies, and teaching material.","Displays or witnesses Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","Displays Platform B1 evaluated state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","ACTION HELD; DOCUMENTED PAUSE CREATED; APPROVER UNAVAILABLE; ESCALATION REQUIRED; ACTION ADMISSIBLE","Reconstructable pivotal-trial data-lock decision.","Platform B and Platform B1 evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Action admissibility is not execution. Official execution occurs only through the authorized human process and governed source system.","RAMAT Vision, Thread D, Thread D2, glasses, wearables, dashboards, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, rehash, evaluate, reconstruct, and display evidence without replacing the official record.","Fictional molecule, synthetic records, mock identities, simulator-first, local-validation-first, and no PHI or company production data.","DESIGN-ONLY FLAGSHIP DEMONSTRATION STAGE","HUMAN DESIGN REVIEW REQUIRED","READY AFTER STEP 156 FLAGSHIP DEMO DESIGN REVIEW"
"A17-09","Marketing Application and AI-Native Inspection Passport","REGULATORY SUBMISSION","AURORA-17 marketing application and inspection passport","Authorize marketing-application submission and inspection-readiness state.","Clinical, CMC, nonclinical, safety, labeling, validation, data-integrity, and quality evidence; claim-to-proof links; inspection passport; approvals; hashes; rehash verification.","Cross-module consistency; current source evidence; validated submission versions; authorized signatories; inspection reconstruction completeness; unresolved-risk disclosure.","Regulatory signatory, medical authority, CMC authority, Quality Unit, safety authority, legal/compliance, and submission owner.","CRITICAL","Claim unsupported; evidence hash mismatch; stale source evidence; missing signatory; cross-section inconsistency; inspection package incomplete.","RIM, document-management system, eQMS, clinical systems, LIMS, MES, safety system, and submission gateway.","IRLT FIRST-TIER TRACK","Registers the use case, regulated objects, stakeholders, systems, risks, controls, ownership, and governance context.","Uses only the frozen Platform B v1 capabilities: AI Use Case Registry, Assurance Check API, Evidence Upload, Operational Trust Score, Action Admissibility Record, and Wearable Endpoint Simulator.","Evaluates object identity, evidence integrity, hashing, rehashing, provenance, workflow dependencies, authority, timing, accountability, No-Bind state, admissibility, and reconstruction.","Converts controlled demonstration findings into Assurance Engineering research, publication, doctrine, case studies, and teaching material.","Displays or witnesses Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","Displays Platform B1 evaluated state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","EVIDENCE INSUFFICIENT; AUTHORITY ABSENT; NO-BIND STATE ACTIVE; ACTION HELD; SOURCE-SYSTEM EXECUTION REQUIRED","Living, connected, provenance-backed regulatory inspection passport.","Platform B and Platform B1 evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Action admissibility is not execution. Official execution occurs only through the authorized human process and governed source system.","RAMAT Vision, Thread D, Thread D2, glasses, wearables, dashboards, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, rehash, evaluate, reconstruct, and display evidence without replacing the official record.","Fictional molecule, synthetic records, mock identities, simulator-first, local-validation-first, and no PHI or company production data.","DESIGN-ONLY FLAGSHIP DEMONSTRATION STAGE","HUMAN DESIGN REVIEW REQUIRED","READY AFTER STEP 156 FLAGSHIP DEMO DESIGN REVIEW"
"A17-10","Approval, Label, and Commercial Authorization Baseline","APPROVAL","AURORA-17 approved product and label baseline","Register the approved commercial baseline and authorized conditions of use.","Regulatory decision; approved label; commitments; post-approval requirements; approved manufacturing sites; specifications; control strategy; authorized markets.","Official approval recorded; label version current; site and specification scope aligned; commitments assigned; lifecycle owner identified.","Regulatory authority, product owner, Quality Unit, medical authority, labeling authority, and lifecycle governance board.","CRITICAL","Approval record unavailable; label-version conflict; unauthorized site; unassigned regulatory commitment; source binding unresolved.","RIM, document-management system, ERP, eQMS, product master system, and regulatory authority records.","IRLT FIRST-TIER TRACK","Registers the use case, regulated objects, stakeholders, systems, risks, controls, ownership, and governance context.","Uses only the frozen Platform B v1 capabilities: AI Use Case Registry, Assurance Check API, Evidence Upload, Operational Trust Score, Action Admissibility Record, and Wearable Endpoint Simulator.","Evaluates object identity, evidence integrity, hashing, rehashing, provenance, workflow dependencies, authority, timing, accountability, No-Bind state, admissibility, and reconstruction.","Converts controlled demonstration findings into Assurance Engineering research, publication, doctrine, case studies, and teaching material.","Displays or witnesses Platform B v1 assurance state through the locked Thread D v1 connector. It has no decision authority.","Displays Platform B1 evaluated state through RAMAT Vision. It remains preview-only and DISPLAY / WITNESS ONLY.","SOURCE-SYSTEM EXECUTION REQUIRED; AUTHORITY OUT OF SCOPE; ACTION HELD; ACTION ADMISSIBLE","Canonical approved-product identity and controlled commercial baseline.","Platform B and Platform B1 evaluate assurance state. Qualified humans and authorized organizational roles make binding decisions.","Action admissibility is not execution. Official execution occurs only through the authorized human process and governed source system.","RAMAT Vision, Thread D, Thread D2, glasses, wearables, dashboards, and device witnesses may display or witness state but may not approve, release, override, resolve, or execute regulated work.","Official records remain in governed source systems. COBIT-Chain may reference, hash, seal, rehash, evaluate, reconstruct, and display evidence without replacing the official record.","Fictional molecule, synthetic records, mock identities, simulator-first, local-validation-first, and no PHI or company production data.","DESIGN-ONLY FLAGSHIP DEMONSTRATION STAGE","HUMAN DESIGN REVIEW REQUIRED","READY AFTER STEP 156 FLAGSHIP DEMO DESIGN REVIEW"
