packet_id,system_key,system_name,packet_section,packet_item,packet_status,packet_score,source_register,source_route,evidence_type,required_for_packet,packet_note,not_allowed_content,last_checked,packet_hash
ST-PACKET-A85CC0FF2AF2,azure-blob,Azure Blob Storage,01 Result Summary,POC Results Summary,YELLOW,60,sterile_compounding_poc_results_summary.csv,/sterile-compounding/poc-results-summary/azure-blob,Summary Register,YES,Azure Blob Storage: status=YELLOW; score=60; tests=6; P0=4; GREEN tests=3; YELLOW tests=3; RED tests=0; required evidence=23; evidence gaps=12; P0 blockers=0.,No production API calls; no credentials; no source-system writeback; no PHI/PII/secrets; no protected-module patch; no production automation.,2026-05-12 23:01:46 UTC,adf3b2fc7c0b5a2b274751a2575bd571a94c96c2cb8f4f93c17ae38b9d884e33
ST-PACKET-6691A49E49B3,azure-blob,Azure Blob Storage,02 Execution Ledger,POC Test Execution Ledger,GREEN,70,sterile_compounding_poc_test_execution.csv,/sterile-compounding/poc-test-execution?system=azure-blob,Execution Register,YES,"Contains manual non-production test execution readiness, pass/fail criteria, and execution decisions.",No production API calls; no credentials; no source-system writeback; no PHI/PII/secrets; no protected-module patch; no production automation.,2026-05-12 23:01:46 UTC,c148400f3c89147a1f4395bd37180d6a3b6e0aa1b0d93bd59b6ae15d27e3eb5b
ST-PACKET-F4AB7CC2D48B,azure-blob,Azure Blob Storage,03 Evidence Checklist,POC Evidence Checklist,YELLOW,4,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/poc-evidence-checklist?system=azure-blob,Evidence Checklist,YES,"Contains screenshots, CSV exports, boundary confirmations, and system-specific evidence expectations.",No production API calls; no credentials; no source-system writeback; no PHI/PII/secrets; no protected-module patch; no production automation.,2026-05-12 23:01:46 UTC,32346a223d3cc86a30062d174094d10bfb3cc90404bfad3368562962eea2c42c
ST-PACKET-90E402D2965D,azure-blob,Azure Blob Storage,04 Non-Production Boundary,Boundary and Not-Allowed Statement,GREEN,100,sterile_compounding_nonprod_poc_plan.csv,/sterile-compounding/nonprod-poc-plan/azure-blob,Governance Statement,YES,"Confirms mock/non-production-only boundary and prohibits production connection, credentials, writeback, and protected-module changes.",No production API calls; no credentials; no source-system writeback; no PHI/PII/secrets; no protected-module patch; no production automation.,2026-05-12 23:01:46 UTC,7503907012f8b6d9021adb38f2b46a2214aef19fe87a41431a7ea00aa235abd2
ST-PACKET-6CB6FD95120C,azure-blob,Azure Blob Storage,05 Approval Trace,Connector Approval and Decision Trace,YELLOW,70,sterile_compounding_connector_approval_board.csv,/sterile-compounding/connector-approval-board/azure-blob,Approval Planning Record,YES,"Shows approval readiness, implementation position, and not-allowed actions before any real connector work.",No production API calls; no credentials; no source-system writeback; no PHI/PII/secrets; no protected-module patch; no production automation.,2026-05-12 23:01:46 UTC,295562d6921e884d96649bea2d5f5308947d17238dfc08a2eefa02a40d06cacb
ST-PACKET-42770DDD0A09,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Route Screenshot,GREEN,90,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan/azure-blob,Screenshot,YES,Capture screenshot of the sterile planning route that supports the test.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",2026-05-12 23:01:46 UTC,e5b1a75ac56c6185e28c5c500f2b033b9a005a4a19a7de636db620a345d5e252
ST-PACKET-038DD530E009,azure-blob,Azure Blob Storage,06 Evidence Item Detail,CSV Export,GREEN,90,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan/azure-blob,CSV,YES,Export the relevant sterile register used by the test.,No uncontrolled export from enterprise source systems.,2026-05-12 23:01:46 UTC,5e3cea680a0a114984e971c3806e70c91caa96dfaa308b928d28a53dcd83b302
ST-PACKET-014AE111EB7B,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Boundary Confirmation,GREEN,90,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan,Governance Note,YES,"Confirm that no API call, credential, production data, or writeback was used.",No real connector activation.,2026-05-12 23:01:46 UTC,f99b83aa10901e55c8f38cb044a4a666bf4b66b19f9c9fda244ed5e8862a26e4
ST-PACKET-42770DDD0A09,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Route Screenshot,GREEN,90,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/data-contracts/azure-blob,Screenshot,YES,Capture screenshot of the sterile planning route that supports the test.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",2026-05-12 23:01:46 UTC,cd68a1871d6ffff3db5b4f4ced02cb0d7a81b4b5f4b8034d7ce8ee677a4e0fae
ST-PACKET-038DD530E009,azure-blob,Azure Blob Storage,06 Evidence Item Detail,CSV Export,GREEN,90,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/data-contracts/azure-blob,CSV,YES,Export the relevant sterile register used by the test.,No uncontrolled export from enterprise source systems.,2026-05-12 23:01:46 UTC,d72f41ede0e871ba01dd2901002fcb4bc7c8aecce2a0cedc8b48e6204e9de772
ST-PACKET-014AE111EB7B,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Boundary Confirmation,GREEN,90,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan,Governance Note,YES,"Confirm that no API call, credential, production data, or writeback was used.",No real connector activation.,2026-05-12 23:01:46 UTC,f99b83aa10901e55c8f38cb044a4a666bf4b66b19f9c9fda244ed5e8862a26e4
ST-PACKET-3007C43575FE,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Data Contract Evidence,GREEN,90,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/data-contracts/azure-blob,Register Export,YES,Export or screenshot the data contract and field mapping pages for this system.,No live data pull.,2026-05-12 23:01:46 UTC,2bf5d2e632c344d3b1236a7ed985bd07bb35a841b4872b6c7213e3e7832f11bc
ST-PACKET-42770DDD0A09,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Route Screenshot,GREEN,90,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/mock-ingestion-lab/azure-blob,Screenshot,YES,Capture screenshot of the sterile planning route that supports the test.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",2026-05-12 23:01:46 UTC,2996be8421930919b4d052c6c88433a1ce7580dbe1cfb9be3e679a0e8cd2ce64
ST-PACKET-038DD530E009,azure-blob,Azure Blob Storage,06 Evidence Item Detail,CSV Export,GREEN,90,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/mock-ingestion-lab/azure-blob,CSV,YES,Export the relevant sterile register used by the test.,No uncontrolled export from enterprise source systems.,2026-05-12 23:01:46 UTC,528f9d88044fb51e3237abe04559ef37caad3756582997fcc2ebb04c27f68437
ST-PACKET-014AE111EB7B,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Boundary Confirmation,GREEN,90,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan,Governance Note,YES,"Confirm that no API call, credential, production data, or writeback was used.",No real connector activation.,2026-05-12 23:01:46 UTC,f99b83aa10901e55c8f38cb044a4a666bf4b66b19f9c9fda244ed5e8862a26e4
ST-PACKET-1497F65DD2E8,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Mock Payload Evidence,GREEN,90,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/mock-ingestion-lab/azure-blob,Mock Register,YES,Capture mock ingestion payload shape and quality gate for this system.,No external API request.,2026-05-12 23:01:46 UTC,c12e7360b729976eec3c5088d798e76c1a5d7dbd2582cf81891a7bca7379fd08
ST-PACKET-42770DDD0A09,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Route Screenshot,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/connector-approval-board/azure-blob,Screenshot,YES,Capture screenshot of the sterile planning route that supports the test.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",2026-05-12 23:01:46 UTC,e172b620a63fc929923adc157368625f48563ac03ab0280be1d72b379aaf54a5
ST-PACKET-038DD530E009,azure-blob,Azure Blob Storage,06 Evidence Item Detail,CSV Export,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/connector-approval-board/azure-blob,CSV,YES,Export the relevant sterile register used by the test.,No uncontrolled export from enterprise source systems.,2026-05-12 23:01:46 UTC,18705db61ecb0b9aaf3de1e0f4010106756adb1e68ca9ebe99cb571b12a794db
ST-PACKET-014AE111EB7B,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Boundary Confirmation,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan,Governance Note,YES,"Confirm that no API call, credential, production data, or writeback was used.",No real connector activation.,2026-05-12 23:01:46 UTC,cf974ef284945707bb91ba2a0b6eb124a1ffd63212192ec3462e028d13dea419
ST-PACKET-798DB523B35A,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Approval Board Evidence,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/connector-approval-board/azure-blob,Approval Register,YES,Capture connector approval board row for this system.,Do not treat this as formal enterprise approval.,2026-05-12 23:01:46 UTC,6602122ae37ff00d4d14ed15155022a8ab345c0a488228d528c6fa179a538dd0
ST-PACKET-42770DDD0A09,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Route Screenshot,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/pre-integration-risk?system=azure-blob,Screenshot,YES,Capture screenshot of the sterile planning route that supports the test.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",2026-05-12 23:01:46 UTC,91fb54a69df7744b70d88a8a746f70290b9f8571fe98eb47cbdd016f77486002
ST-PACKET-038DD530E009,azure-blob,Azure Blob Storage,06 Evidence Item Detail,CSV Export,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/pre-integration-risk?system=azure-blob,CSV,YES,Export the relevant sterile register used by the test.,No uncontrolled export from enterprise source systems.,2026-05-12 23:01:46 UTC,b83042811f796a0823a2a86cc10d0b6a057fe168c70069891f8ad6a398658ab0
ST-PACKET-014AE111EB7B,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Boundary Confirmation,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan,Governance Note,YES,"Confirm that no API call, credential, production data, or writeback was used.",No real connector activation.,2026-05-12 23:01:46 UTC,cf974ef284945707bb91ba2a0b6eb124a1ffd63212192ec3462e028d13dea419
