checklist_id,test_case_id,system_key,system_name,evidence_item,evidence_type,evidence_status,required_for_execution,capture_instruction,acceptable_format,reviewer_note,not_allowed_content,evidence_route,last_checked,checklist_hash
ST-EVID-827FBE17662B,ST-TEST-F389709F60E2,azure-blob,Azure Blob Storage,Route Screenshot,Screenshot,GREEN,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/nonprod-poc-plan/azure-blob,2026-05-12 23:01:46 UTC,d44c4e1ae2c3d15cb8288ce9520a9ece30ed88ce916afe5716fb4d08458376e9
ST-EVID-C33A434923BB,ST-TEST-F389709F60E2,azure-blob,Azure Blob Storage,CSV Export,CSV,GREEN,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/nonprod-poc-plan/azure-blob,2026-05-12 23:01:46 UTC,9e4abe0b78e1191497716a6d26615bf172b1dfec9b8f84b31394bd5e7214eb14
ST-EVID-00BEC761ED21,ST-TEST-F389709F60E2,azure-blob,Azure Blob Storage,Boundary Confirmation,Governance Note,GREEN,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,7b4d7213799f24fc1fbcd63c324bfbd0c1f3c36e822965e65a220cfad6801b53
ST-EVID-2201D3835048,ST-TEST-2723CFC2BEB8,azure-blob,Azure Blob Storage,Route Screenshot,Screenshot,GREEN,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,aedc927d30d516b426db03ae172a16b4ca4d45e9e49792fa68bcece985df0f0f
ST-EVID-4A286797A466,ST-TEST-2723CFC2BEB8,azure-blob,Azure Blob Storage,CSV Export,CSV,GREEN,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,1de8d8ae84408e790d92fee45a57aa489cccd0d225f6703e2fa240c5270afe34
ST-EVID-9B6F436B4F9C,ST-TEST-2723CFC2BEB8,azure-blob,Azure Blob Storage,Boundary Confirmation,Governance Note,GREEN,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,58d64a0777e08ff4836c2033055e8a8cdc366484ca91e334babe86b797874dcd
ST-EVID-C99B62F09755,ST-TEST-2723CFC2BEB8,azure-blob,Azure Blob Storage,Data Contract Evidence,Register Export,GREEN,YES,Export or screenshot the data contract and field mapping pages for this system.,CSV/screenshot,"Shows keys, fields, source-of-truth boundary, and no-writeback rule.",No live data pull.,/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,edb3744bdcd7eedcba4dc775b3ff4bc4d55648feaf2f5635af51aeedc7291bba
ST-EVID-601519223375,ST-TEST-E8F942A29EFB,azure-blob,Azure Blob Storage,Route Screenshot,Screenshot,GREEN,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/mock-ingestion-lab/azure-blob,2026-05-12 23:01:46 UTC,ac6d979fd13286aa2e077456133d2b29edf1deddb0c6ac6ab8820c4607f7ce34
ST-EVID-AD2ED8E15F36,ST-TEST-E8F942A29EFB,azure-blob,Azure Blob Storage,CSV Export,CSV,GREEN,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/mock-ingestion-lab/azure-blob,2026-05-12 23:01:46 UTC,12ab361bb3cd2f39e7977e682ad0e72b75af773474d09b805de6b16309619068
ST-EVID-85B93BF26B86,ST-TEST-E8F942A29EFB,azure-blob,Azure Blob Storage,Boundary Confirmation,Governance Note,GREEN,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,bceb8c7bec7c7b75719b366d5f5a2da4d685df4fd5a809e777099453b0a241b8
ST-EVID-CE3AF1F8D59D,ST-TEST-E8F942A29EFB,azure-blob,Azure Blob Storage,Mock Payload Evidence,Mock Register,GREEN,YES,Capture mock ingestion payload shape and quality gate for this system.,CSV/screenshot,Shows readiness without connecting to the source system.,No external API request.,/sterile-compounding/mock-ingestion-lab/azure-blob,2026-05-12 23:01:46 UTC,176a74d69abcc04734ba2d6a224d93057a2314f78adea928cd0d28515e2f7951
ST-EVID-F7FC1D6FDABB,ST-TEST-81440B5A1093,azure-blob,Azure Blob Storage,Route Screenshot,Screenshot,YELLOW,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/connector-approval-board/azure-blob,2026-05-12 23:01:46 UTC,185cdbd9c3f0efc8bea34b8c30807ed8cfa1c79fb927555d652647eb1572fd59
ST-EVID-888D47F34075,ST-TEST-81440B5A1093,azure-blob,Azure Blob Storage,CSV Export,CSV,YELLOW,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/connector-approval-board/azure-blob,2026-05-12 23:01:46 UTC,8b3bc7795ae500a98725bbb1abaa8489ff72c81d7fa1c4352d8a067293ef92a8
ST-EVID-D270FD431E6F,ST-TEST-81440B5A1093,azure-blob,Azure Blob Storage,Boundary Confirmation,Governance Note,YELLOW,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,fde2351646a3a865c74fffc8d06f1c01e59c12041a0833ef8bcd0baaa7aaa14f
ST-EVID-54E0B8EABB09,ST-TEST-81440B5A1093,azure-blob,Azure Blob Storage,Approval Board Evidence,Approval Register,YELLOW,YES,Capture connector approval board row for this system.,CSV/screenshot,Shows approval gaps and not-allowed actions.,Do not treat this as formal enterprise approval.,/sterile-compounding/connector-approval-board/azure-blob,2026-05-12 23:01:46 UTC,96ff7c0c5a1c4e4cdc0d97b7be96e1ec7d5aa71ada32f0c59e44089427dda21a
ST-EVID-D49F1740FBCA,ST-TEST-3D37436AD808,azure-blob,Azure Blob Storage,Route Screenshot,Screenshot,YELLOW,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/pre-integration-risk?system=azure-blob,2026-05-12 23:01:46 UTC,207add0b6bd8a43cdb7be554e600c95383b64578816273fd6d82f23bf0d902d9
ST-EVID-0859BAC8B4B9,ST-TEST-3D37436AD808,azure-blob,Azure Blob Storage,CSV Export,CSV,YELLOW,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/pre-integration-risk?system=azure-blob,2026-05-12 23:01:46 UTC,9734b5835eebe509f8d6bd784bff6ea725cfcc80bb88843b518a21a6735e8c40
ST-EVID-E9AA7C6A96BD,ST-TEST-3D37436AD808,azure-blob,Azure Blob Storage,Boundary Confirmation,Governance Note,YELLOW,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,04e158356f55e753d2dcce3e5a300d6b16548be6910a1c78c10956be45ccd887
ST-EVID-84FCE7C422F5,ST-TEST-3D37436AD808,azure-blob,Azure Blob Storage,Failure Mode Evidence,Risk Register,YELLOW,YES,Capture pre-integration risk register and false-GREEN prevention rule.,CSV/screenshot,Shows missing/stale connector data cannot create false GREEN.,No silent pass when evidence is missing.,/sterile-compounding/pre-integration-risk?system=azure-blob,2026-05-12 23:01:46 UTC,9f0786c6c1c27ac470382672fae51613da3f1bf69cde0886881a1ae167197343
ST-EVID-10004CB1C148,ST-TEST-450EECB524D6,azure-blob,Azure Blob Storage,Route Screenshot,Screenshot,YELLOW,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/nonprod-poc-plan/azure-blob,2026-05-12 23:01:46 UTC,28e2ba71ae2fb6d8e76e080d88d224b0e85375fc766ee0a53cd176bfa9d3213e
ST-EVID-185575A19BB7,ST-TEST-450EECB524D6,azure-blob,Azure Blob Storage,CSV Export,CSV,YELLOW,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/nonprod-poc-plan/azure-blob,2026-05-12 23:01:46 UTC,ed683b4ee38e9e5c8a5f57b44bc03d57811c6e47eb253400622889fb4a4ee3d3
ST-EVID-80DA62914760,ST-TEST-450EECB524D6,azure-blob,Azure Blob Storage,Boundary Confirmation,Governance Note,YELLOW,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,398e77e921fdb4dbf728d7b5f70f7d6bcca8c0105123bb09a1fdb10cefd749f8
