approval_id,system_key,system_name,approval_area,approval_status,approval_score,required_approver,approval_evidence_needed,current_evidence_status,decision_position,blocker_summary,safe_implementation_position,supporting_route,last_checked,approval_hash
ST-APPROVAL-E5B7C2EFB26C,azure-blob,Azure Blob Storage,Business Owner Approval,YELLOW,60,Business/process owner,Named process owner confirms the integration use case and business value.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Business owner has not been captured in the sterile app yet.,Blueprint/mock only,/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,00443dcdbd718214087120f3a72a3440e1027ab0ca13170f3c5064389bbb9a43
ST-APPROVAL-5C8EADE53D7C,azure-blob,Azure Blob Storage,System Owner Approval,YELLOW,65,Source-system owner,"System owner confirms allowed data access pattern, fields, and source-of-truth boundary.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,System owner review still required before live connector work.,Blueprint/mock only,/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,5459a36cd61cac0a6ad15563e46743036d8029908111e8447f96fc53db96d1f5
ST-APPROVAL-D8668F8A28AD,azure-blob,Azure Blob Storage,QA / Governance Approval,YELLOW,65,"QA, compliance, or governance reviewer",QA/governance confirms the intended use is evidence support only and does not replace validated release or QMS controls.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Governance approval needed before production use.,Blueprint/mock only,/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,7c1b557537a9f0db9111bf8240d70630b9117c12f8c533a340d8e76e5c6dd9a5
ST-APPROVAL-AD35F8B0854C,azure-blob,Azure Blob Storage,Security / Privacy Approval,YELLOW,70,"Security, privacy, or IAM reviewer","Security/privacy reviewer confirms metadata-only design, least privilege, and no unnecessary PHI/PII/secrets collection.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,"Security review required before credentials, tokens, or real data are used.",Blueprint/mock only,/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,ab4e8fad67c1b3da9fc9671e88aee51b45ca5ac1ca3bf042083e829c937b81d7
ST-APPROVAL-0A9A46D8727F,azure-blob,Azure Blob Storage,Data Contract Approval,GREEN,80,Data owner or integration architect,"Data contract, field mapping, keys, status values, quality rules, and failure modes are reviewed.",Blueprint evidence available; formal approval evidence not captured.,GO FOR MOCK,Data contract and mock payload are acceptable for blueprint-level review.,Blueprint/mock only,/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,1f516549b9669be077a78aeea0a7a637fadcd1f3ae8a6a6229cb4039a5e10859
ST-APPROVAL-32FEB263D237,azure-blob,Azure Blob Storage,Validation Boundary Approval,GREEN,78,Validation/CSV reviewer if regulated use is intended,"Validated-system boundary, no-writeback rule, non-replacement statement, and documentation requirements are reviewed.",Blueprint evidence available; formal approval evidence not captured.,GO FOR BLUEPRINT,No-writeback boundary supports blueprint-stage review.,Blueprint/mock only,/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,0c4bebfc39c0b52f1dd6c38a2a7abc229f1f4b680dc282a96d3aa21ededd9d40
ST-APPROVAL-781FC93D19BB,azure-blob,Azure Blob Storage,Operational Support Approval,YELLOW,60,Support owner or application owner,"Support path, monitoring, rollback, and failure-mode handling are defined before live connector work.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Operational fallback and support path need review.,Blueprint/mock only,/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,5c01ec84c87361014c86e84d82c5e9c14e22b5e7c6c500e3d1106b748f8b14c7
ST-APPROVAL-3B6142795AF4,azure-confidential-ledger,Azure Confidential Ledger,Business Owner Approval,YELLOW,60,Business/process owner,Named process owner confirms the integration use case and business value.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Business owner has not been captured in the sterile app yet.,Blueprint/mock only,/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,b3d7d5105dfe05263ed6620f59339a8fa8726d216867ff1ec4ba951ff145351c
ST-APPROVAL-652E06BA4BB1,azure-confidential-ledger,Azure Confidential Ledger,System Owner Approval,YELLOW,65,Source-system owner,"System owner confirms allowed data access pattern, fields, and source-of-truth boundary.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,System owner review still required before live connector work.,Blueprint/mock only,/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,21f0d050bf11f425f92692de83d369dcc86ff57a1386e9ae9f8c4750ec80c76b
ST-APPROVAL-D929B55FAFD1,azure-confidential-ledger,Azure Confidential Ledger,QA / Governance Approval,YELLOW,65,"QA, compliance, or governance reviewer",QA/governance confirms the intended use is evidence support only and does not replace validated release or QMS controls.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Governance approval needed before production use.,Blueprint/mock only,/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,1c790ffcdd6b58e6a8989adea43d348ceea31a8b0a362bf4c9931b71f3803d65
ST-APPROVAL-6707FCBCF489,azure-confidential-ledger,Azure Confidential Ledger,Security / Privacy Approval,YELLOW,70,"Security, privacy, or IAM reviewer","Security/privacy reviewer confirms metadata-only design, least privilege, and no unnecessary PHI/PII/secrets collection.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,"Security review required before credentials, tokens, or real data are used.",Blueprint/mock only,/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,0fed3e68c915d256991ad6673ed430b512f049c707f36877ff1e902f100e7053
ST-APPROVAL-B0DAB0374B42,azure-confidential-ledger,Azure Confidential Ledger,Data Contract Approval,YELLOW,60,Data owner or integration architect,"Data contract, field mapping, keys, status values, quality rules, and failure modes are reviewed.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Data contract needs review before implementation.,Blueprint/mock only,/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,00e10ff7e251d2854e3543a61692a2bd2e917a6a09e4325d82aaeaeb174c674d
ST-APPROVAL-F6F4EB7D2B62,azure-confidential-ledger,Azure Confidential Ledger,Validation Boundary Approval,GREEN,78,Validation/CSV reviewer if regulated use is intended,"Validated-system boundary, no-writeback rule, non-replacement statement, and documentation requirements are reviewed.",Blueprint evidence available; formal approval evidence not captured.,GO FOR BLUEPRINT,No-writeback boundary supports blueprint-stage review.,Blueprint/mock only,/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,a900504a4a6b8c5b91514357e7ee95daf54babd73fec48a0948c74af38726991
ST-APPROVAL-5588289EDA1A,azure-confidential-ledger,Azure Confidential Ledger,Operational Support Approval,YELLOW,60,Support owner or application owner,"Support path, monitoring, rollback, and failure-mode handling are defined before live connector work.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Operational fallback and support path need review.,Blueprint/mock only,/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,bf988a9d7ef3b522031045832006f53a55be47e6843e15946ac05df810bf96df
ST-APPROVAL-930FF1306439,blue-mountain,Blue Mountain RAM,Business Owner Approval,YELLOW,60,Business/process owner,Named process owner confirms the integration use case and business value.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Business owner has not been captured in the sterile app yet.,Blueprint/mock only,/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,7c6c32e3bfbbe22704f1be784bc4675eb4ea0497cfb351ef4e42e523ad4d2f0f
ST-APPROVAL-7A1920A2CAC4,blue-mountain,Blue Mountain RAM,System Owner Approval,YELLOW,55,Source-system owner,"System owner confirms allowed data access pattern, fields, and source-of-truth boundary.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,System owner approval required before any live connector work.,Blueprint/mock only,/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,e89aaa30315c84a3f77cc081017e0806150e55e43ed03e2455d0027b286fcf0f
ST-APPROVAL-DF3FCC5034C0,blue-mountain,Blue Mountain RAM,QA / Governance Approval,YELLOW,55,"QA, compliance, or governance reviewer",QA/governance confirms the intended use is evidence support only and does not replace validated release or QMS controls.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,QA/governance approval required because this touches regulated source-of-truth boundaries.,Blueprint/mock only,/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,1d0e0ae3bd93954a91825801dc6f0d57187196c36c6e3d14c64868cd7d7037ec
ST-APPROVAL-CC04FABF9573,blue-mountain,Blue Mountain RAM,Security / Privacy Approval,YELLOW,70,"Security, privacy, or IAM reviewer","Security/privacy reviewer confirms metadata-only design, least privilege, and no unnecessary PHI/PII/secrets collection.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,"Security review required before credentials, tokens, or real data are used.",Blueprint/mock only,/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,10808d03d87058f0d095d1dac9719a7ed32344c41ba7c3d87964da49c4e6f48e
ST-APPROVAL-9D5CF2A892D5,blue-mountain,Blue Mountain RAM,Data Contract Approval,YELLOW,60,Data owner or integration architect,"Data contract, field mapping, keys, status values, quality rules, and failure modes are reviewed.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Data contract needs review before implementation.,Blueprint/mock only,/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,ce3eb8e39bfe9114931a448267d6b468caca642e29493f24e45824fced5a8642
ST-APPROVAL-E3A5AAFC1BBE,blue-mountain,Blue Mountain RAM,Validation Boundary Approval,GREEN,78,Validation/CSV reviewer if regulated use is intended,"Validated-system boundary, no-writeback rule, non-replacement statement, and documentation requirements are reviewed.",Blueprint evidence available; formal approval evidence not captured.,GO FOR BLUEPRINT,No-writeback boundary supports blueprint-stage review.,Blueprint/mock only,/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,e72357c3859d2b0a64883f69b67d118f4047df20e3441ce550768eac258f2b61
ST-APPROVAL-8B27DC137434,blue-mountain,Blue Mountain RAM,Operational Support Approval,YELLOW,60,Support owner or application owner,"Support path, monitoring, rollback, and failure-mode handling are defined before live connector work.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Operational fallback and support path need review.,Blueprint/mock only,/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,c7cd91c846b1a7cc2c561f83a3bd51b67ad33f1c1f71b30f45d23853eb113b61
ST-APPROVAL-8714067F300D,entra,Microsoft Entra ID,Business Owner Approval,YELLOW,60,Business/process owner,Named process owner confirms the integration use case and business value.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Business owner has not been captured in the sterile app yet.,Blueprint/mock only,/sterile-compounding/data-contracts/entra,2026-05-12 23:01:46 UTC,5c74db76d95ed523197e96b8d183471656802edd3bb12d4c2742672aa3a90e24
ST-APPROVAL-70C9A8B4328C,entra,Microsoft Entra ID,System Owner Approval,YELLOW,55,Source-system owner,"System owner confirms allowed data access pattern, fields, and source-of-truth boundary.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,System owner approval required before any live connector work.,Blueprint/mock only,/sterile-compounding/data-contracts/entra,2026-05-12 23:01:46 UTC,5b38a494d2d44b75b010feda1b0dd71f04c63a64b0ad7dd702fc18524f6658f2
ST-APPROVAL-655A77B21353,entra,Microsoft Entra ID,QA / Governance Approval,YELLOW,65,"QA, compliance, or governance reviewer",QA/governance confirms the intended use is evidence support only and does not replace validated release or QMS controls.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Governance approval needed before production use.,Blueprint/mock only,/sterile-compounding/data-contracts/entra,2026-05-12 23:01:46 UTC,2b7107b7712910d216477cf9726ed2943b5b00eab615a4be2a6004fca1845401
ST-APPROVAL-BBCDB8D5CF3D,entra,Microsoft Entra ID,Security / Privacy Approval,YELLOW,55,"Security, privacy, or IAM reviewer","Security/privacy reviewer confirms metadata-only design, least privilege, and no unnecessary PHI/PII/secrets collection.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,"Identity, access, or QMS metadata requires security/privacy review.",Blueprint/mock only,/sterile-compounding/data-contracts/entra,2026-05-12 23:01:46 UTC,f3cefcf2fefb4d6a8a575a304a9a6ecdb0ce082b35ab4d115af8dc0b0f445964
ST-APPROVAL-0C2D293CBCE3,entra,Microsoft Entra ID,Data Contract Approval,YELLOW,60,Data owner or integration architect,"Data contract, field mapping, keys, status values, quality rules, and failure modes are reviewed.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Data contract needs review before implementation.,Blueprint/mock only,/sterile-compounding/data-contracts/entra,2026-05-12 23:01:46 UTC,2409d9151163d4fd716b80e676839314209648a896ff516670000f6cff9c3ceb
ST-APPROVAL-F9EEB51E4A29,entra,Microsoft Entra ID,Validation Boundary Approval,GREEN,78,Validation/CSV reviewer if regulated use is intended,"Validated-system boundary, no-writeback rule, non-replacement statement, and documentation requirements are reviewed.",Blueprint evidence available; formal approval evidence not captured.,GO FOR BLUEPRINT,No-writeback boundary supports blueprint-stage review.,Blueprint/mock only,/sterile-compounding/data-contracts/entra,2026-05-12 23:01:46 UTC,828ebd43bd6fbcab6a3191ae38a6960a9171a77a7866c62b4873a186328d3e80
ST-APPROVAL-82AD63598A0B,entra,Microsoft Entra ID,Operational Support Approval,YELLOW,60,Support owner or application owner,"Support path, monitoring, rollback, and failure-mode handling are defined before live connector work.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Operational fallback and support path need review.,Blueprint/mock only,/sterile-compounding/data-contracts/entra,2026-05-12 23:01:46 UTC,c163703ccc90fa74ab9416dc99aba04b3bf0185ce80c58056bc9279216da5ddd
ST-APPROVAL-C5D31D3FF372,myaccess,myAccess,Business Owner Approval,YELLOW,60,Business/process owner,Named process owner confirms the integration use case and business value.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Business owner has not been captured in the sterile app yet.,Blueprint/mock only,/sterile-compounding/data-contracts/myaccess,2026-05-12 23:01:46 UTC,645b8e2d1a95fd9710f88ef64f6010f58ff661e31cf6bc29326a1715f95dddb8
ST-APPROVAL-355402ED1946,myaccess,myAccess,System Owner Approval,YELLOW,55,Source-system owner,"System owner confirms allowed data access pattern, fields, and source-of-truth boundary.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,System owner approval required before any live connector work.,Blueprint/mock only,/sterile-compounding/data-contracts/myaccess,2026-05-12 23:01:46 UTC,bb487a84e29cbc34538ff915e716721170df9877da27b777781ab69bf51c9bac
ST-APPROVAL-B6CFF693E96D,myaccess,myAccess,QA / Governance Approval,YELLOW,65,"QA, compliance, or governance reviewer",QA/governance confirms the intended use is evidence support only and does not replace validated release or QMS controls.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Governance approval needed before production use.,Blueprint/mock only,/sterile-compounding/data-contracts/myaccess,2026-05-12 23:01:46 UTC,cd9ca828fd1e458bab55e1803e887bf2f377f925a72c43417fdffcd243f4b792
ST-APPROVAL-DE136205C1CA,myaccess,myAccess,Security / Privacy Approval,YELLOW,55,"Security, privacy, or IAM reviewer","Security/privacy reviewer confirms metadata-only design, least privilege, and no unnecessary PHI/PII/secrets collection.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,"Identity, access, or QMS metadata requires security/privacy review.",Blueprint/mock only,/sterile-compounding/data-contracts/myaccess,2026-05-12 23:01:46 UTC,ce61c0989f5c4da493f0cd9fbb18e58ca9f3c319a39ca4d6ddf92159aee9ea75
ST-APPROVAL-AE3414043296,myaccess,myAccess,Data Contract Approval,YELLOW,60,Data owner or integration architect,"Data contract, field mapping, keys, status values, quality rules, and failure modes are reviewed.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Data contract needs review before implementation.,Blueprint/mock only,/sterile-compounding/data-contracts/myaccess,2026-05-12 23:01:46 UTC,180ae98adbc6cce1d422b424463f61c196d12118912f4c6569cd83d1164ce3ec
ST-APPROVAL-22C63C2D97A0,myaccess,myAccess,Validation Boundary Approval,GREEN,78,Validation/CSV reviewer if regulated use is intended,"Validated-system boundary, no-writeback rule, non-replacement statement, and documentation requirements are reviewed.",Blueprint evidence available; formal approval evidence not captured.,GO FOR BLUEPRINT,No-writeback boundary supports blueprint-stage review.,Blueprint/mock only,/sterile-compounding/data-contracts/myaccess,2026-05-12 23:01:46 UTC,144f9f3a42f3aeb53d3525a3410528c5ea19fe547184674e5f68564a6244f08e
