"ComponentId","ComponentName","ComponentCategory","Purpose","RequiredFields","ValidationRule","FailureState","PrimaryOwnerLayer","Examples","IdentityAuthorityBoundary","SourceOfTruthRule","HumanAccountabilityRule","DisplayBoundary","DataBoundary","Step155Dependency","MaturityStatement","ReviewStatus"
"ROI-001","Canonical Regulated Object","CANONICAL OBJECT","Defines the single governed identity record representing a regulated, critical, operational, physical, digital, human, AI, document, transactional, or evidence-bearing object.","object_id; object_type_id; canonical_name; lifecycle_state; identity_status; owner_role_id; steward_role_id; created_at_utc; updated_at_utc","Every governed object must have one stable canonical object_id that does not depend only on a mutable name, label, route, display value, filename, or local alias.","CANONICAL_OBJECT_IDENTITY_UNRESOLVED","CROSS-CUTTING ASSURANCE OS","Clinical subject, specimen, batch, equipment item, CI, AI agent, shipment, serialized product, document, transaction, dose, or case.","The schema identifies, binds, verifies, relates, and governs regulated objects. It does not independently approve, release, override, execute, or authorize regulated actions.","Official object records remain in governed source systems. The identity schema stores canonical references, bindings, aliases, verification results, integrity values, relationships, and governance states without replacing the official source record.","A designated object owner, data steward, system owner, process owner, Quality Unit, clinical authority, or other authorized human role remains accountable for identity verification and binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display object identity state but may not create, approve, merge, retire, release, or override canonical identity.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, or real regulated production integration is authorized by this step.","Evidence, authority, No-Bind, accountability, and admissibility records must reference a valid canonical object_id.","Identity schema registration is not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN IDENTITY-SCHEMA REVIEW REQUIRED"
"ROI-002","Regulated Object Type Definition","OBJECT TYPE","Defines the governed taxonomy and required identity attributes for each class of regulated or critical object.","object_type_id; object_type_name; domain; parent_object_type_id; required_identity_fields; allowed_relationship_types; owner_role; status","Every canonical object must resolve to one active object type whose required identity attributes and allowed relationships are defined.","OBJECT_TYPE_UNDEFINED_OR_INACTIVE","CROSS-CUTTING ASSURANCE OS","SUBJECT, SAMPLE, BATCH, MATERIAL, EQUIPMENT, APPLICATION_CI, AI_AGENT, DOCUMENT, SHIPMENT, PRODUCT_SERIAL, TRANSACTION, DEVICE, or CASE.","The schema identifies, binds, verifies, relates, and governs regulated objects. It does not independently approve, release, override, execute, or authorize regulated actions.","Official object records remain in governed source systems. The identity schema stores canonical references, bindings, aliases, verification results, integrity values, relationships, and governance states without replacing the official source record.","A designated object owner, data steward, system owner, process owner, Quality Unit, clinical authority, or other authorized human role remains accountable for identity verification and binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display object identity state but may not create, approve, merge, retire, release, or override canonical identity.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, or real regulated production integration is authorized by this step.","Evidence and authority rules may use object_type_id to determine applicability, consequence level, and required controls.","Identity schema registration is not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN IDENTITY-SCHEMA REVIEW REQUIRED"
"ROI-003","Canonical Identity Key","CANONICAL KEY","Defines the stable technical key used to distinguish one governed object from every other object.","identity_key_id; object_id; key_namespace; key_value; key_version; issued_at_utc; issued_by; key_status","A canonical key must be unique within its declared namespace and must not be reassigned to a different object after issuance.","CANONICAL_KEY_DUPLICATE_OR_REASSIGNED","CROSS-CUTTING ASSURANCE OS","UUID, governed enterprise object key, canonical batch key, canonical sample key, device identity key, or agent identity key.","The schema identifies, binds, verifies, relates, and governs regulated objects. It does not independently approve, release, override, execute, or authorize regulated actions.","Official object records remain in governed source systems. The identity schema stores canonical references, bindings, aliases, verification results, integrity values, relationships, and governance states without replacing the official source record.","A designated object owner, data steward, system owner, process owner, Quality Unit, clinical authority, or other authorized human role remains accountable for identity verification and binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display object identity state but may not create, approve, merge, retire, release, or override canonical identity.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, or real regulated production integration is authorized by this step.","Step 155 must use canonical keys when linking evidence, actors, actions, authority, holds, and accountability.","Identity schema registration is not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN IDENTITY-SCHEMA REVIEW REQUIRED"
"ROI-004","Source-System Identity Binding","SOURCE BINDING","Binds a canonical regulated object to its corresponding official record identity in a governed source system.","binding_id; object_id; source_system_id; source_record_id; source_record_type; source_record_version; binding_status; verified_at_utc","A source binding must identify the canonical object, governed source system, official record key, record type, record version, and status.","SOURCE_BINDING_MISSING_OR_CONFLICTED","CROSS-CUTTING ASSURANCE OS","LIMS sample ID, MES batch ID, ServiceNow sys_id, EHR encounter ID, ERP material ID, EPCIS serial ID, or eQMS deviation ID.","The schema identifies, binds, verifies, relates, and governs regulated objects. It does not independently approve, release, override, execute, or authorize regulated actions.","Official object records remain in governed source systems. The identity schema stores canonical references, bindings, aliases, verification results, integrity values, relationships, and governance states without replacing the official source record.","A designated object owner, data steward, system owner, process owner, Quality Unit, clinical authority, or other authorized human role remains accountable for identity verification and binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display object identity state but may not create, approve, merge, retire, release, or override canonical identity.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, or real regulated production integration is authorized by this step.","Evidence and authority records must preserve the source-system record reference supporting the evaluated state.","Identity schema registration is not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN IDENTITY-SCHEMA REVIEW REQUIRED"
"ROI-005","Alias and Alternate Identifier","ALIAS","Records legacy, local, external, human-readable, renamed, supplier, partner, or historical identifiers associated with one canonical object.","alias_id; object_id; alias_type; alias_value; namespace; valid_from_utc; valid_to_utc; alias_status; source_system_id","An alias may resolve to one canonical object but must never silently replace or create a second canonical identity.","ALIAS_AMBIGUOUS_OR_MULTI_BOUND","CROSS-CUTTING ASSURANCE OS","Previous CI name, local equipment number, supplier lot number, external accession number, legacy document ID, or renamed application.","The schema identifies, binds, verifies, relates, and governs regulated objects. It does not independently approve, release, override, execute, or authorize regulated actions.","Official object records remain in governed source systems. The identity schema stores canonical references, bindings, aliases, verification results, integrity values, relationships, and governance states without replacing the official source record.","A designated object owner, data steward, system owner, process owner, Quality Unit, clinical authority, or other authorized human role remains accountable for identity verification and binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display object identity state but may not create, approve, merge, retire, release, or override canonical identity.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, or real regulated production integration is authorized by this step.","Evidence submitted under an alias must resolve to the correct canonical object before it can support an assurance evaluation.","Identity schema registration is not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN IDENTITY-SCHEMA REVIEW REQUIRED"
"ROI-006","Identity Verification Event","VERIFICATION","Records how, when, by whom, and against which evidence an object identity or source binding was verified.","verification_id; object_id; verification_type; evidence_ids; verified_by_actor_id; verified_at_utc; verification_result; rationale","Identity cannot be marked VERIFIED without identifiable verification evidence, verification method, accountable verifier, time, result, and rationale.","IDENTITY_VERIFICATION_INCOMPLETE","PLATFORM B1 / CROSS-CUTTING ASSURANCE OS","Barcode verification, source-record comparison, human review, digital-certificate verification, device attestation, or partner confirmation.","The schema identifies, binds, verifies, relates, and governs regulated objects. It does not independently approve, release, override, execute, or authorize regulated actions.","Official object records remain in governed source systems. The identity schema stores canonical references, bindings, aliases, verification results, integrity values, relationships, and governance states without replacing the official source record.","A designated object owner, data steward, system owner, process owner, Quality Unit, clinical authority, or other authorized human role remains accountable for identity verification and binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display object identity state but may not create, approve, merge, retire, release, or override canonical identity.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, or real regulated production integration is authorized by this step.","Authority and admissibility evaluations may require current identity verification for the object and accountable actor.","Identity schema registration is not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN IDENTITY-SCHEMA REVIEW REQUIRED"
"ROI-007","Duplicate Identity Candidate","DUPLICATE DETECTION","Records a suspected duplicate, overlapping, renamed, cloned, or conflicting object identity requiring governed review.","duplicate_candidate_id; primary_object_id; candidate_object_id; match_basis; confidence_level; detected_at_utc; detected_by; review_status","A duplicate candidate must remain explicit and unresolved until a qualified human or governed rule completes the review.","DUPLICATE_IDENTITY_REVIEW_REQUIRED","PLATFORM B1 / CROSS-CUTTING ASSURANCE OS","Duplicate CI, duplicate patient identity candidate, duplicate sample, renamed application, repeated batch record, or cloned device identity.","The schema identifies, binds, verifies, relates, and governs regulated objects. It does not independently approve, release, override, execute, or authorize regulated actions.","Official object records remain in governed source systems. The identity schema stores canonical references, bindings, aliases, verification results, integrity values, relationships, and governance states without replacing the official source record.","A designated object owner, data steward, system owner, process owner, Quality Unit, clinical authority, or other authorized human role remains accountable for identity verification and binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display object identity state but may not create, approve, merge, retire, release, or override canonical identity.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, or real regulated production integration is authorized by this step.","Evidence and authority binding must be held when object identity is subject to unresolved duplicate review.","Identity schema registration is not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN IDENTITY-SCHEMA REVIEW REQUIRED"
"ROI-008","Duplicate Resolution Record","DUPLICATE RESOLUTION","Records the governed decision to merge, retain separately, supersede, retire, redirect, or reject a duplicate identity candidate.","resolution_id; duplicate_candidate_id; resolution_type; canonical_object_id; affected_object_ids; decided_by_actor_id; decided_at_utc; rationale; status","Duplicate resolution must identify the accountable decision maker, canonical object, affected identities, resolution type, evidence, and rationale.","DUPLICATE_RESOLUTION_INVALID_OR_UNAPPROVED","HUMAN GOVERNANCE / CROSS-CUTTING ASSURANCE OS","Merge duplicate CIs, retain two legitimate devices, retire a historical alias, redirect a renamed application, or reject an incorrect match.","The schema identifies, binds, verifies, relates, and governs regulated objects. It does not independently approve, release, override, execute, or authorize regulated actions.","Official object records remain in governed source systems. The identity schema stores canonical references, bindings, aliases, verification results, integrity values, relationships, and governance states without replacing the official source record.","A designated object owner, data steward, system owner, process owner, Quality Unit, clinical authority, or other authorized human role remains accountable for identity verification and binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display object identity state but may not create, approve, merge, retire, release, or override canonical identity.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, or real regulated production integration is authorized by this step.","Step 155 must prevent evidence, authority, or action admissibility from binding to retired or non-canonical duplicate identities.","Identity schema registration is not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN IDENTITY-SCHEMA REVIEW REQUIRED"
"ROI-009","Regulated Object Relationship","RELATIONSHIP","Defines governed relationships between canonical objects, including parent, child, component, source, destination, ownership, custody, derivation, dependency, and evidence relationships.","relationship_id; source_object_id; target_object_id; relationship_type; direction; valid_from_utc; valid_to_utc; relationship_status; evidence_id","Every relationship must reference two resolvable canonical objects, an allowed relationship type, validity period, status, and supporting evidence.","OBJECT_RELATIONSHIP_INVALID_OR_UNRESOLVED","CROSS-CUTTING ASSURANCE OS","Batch CONTAINS material, device PRODUCES result, application DEPENDS_ON server, dose ASSIGNED_TO patient, shipment CONTAINS product, or evidence SUPPORTS claim.","The schema identifies, binds, verifies, relates, and governs regulated objects. It does not independently approve, release, override, execute, or authorize regulated actions.","Official object records remain in governed source systems. The identity schema stores canonical references, bindings, aliases, verification results, integrity values, relationships, and governance states without replacing the official source record.","A designated object owner, data steward, system owner, process owner, Quality Unit, clinical authority, or other authorized human role remains accountable for identity verification and binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display object identity state but may not create, approve, merge, retire, release, or override canonical identity.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, or real regulated production integration is authorized by this step.","Evidence, authority, and No-Bind rules may use object relationships to determine affected scope and dependency consequences.","Identity schema registration is not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN IDENTITY-SCHEMA REVIEW REQUIRED"
"ROI-010","Object Lifecycle State Record","LIFECYCLE","Records the governed lifecycle state of an object and the evidence supporting each lifecycle transition.","lifecycle_record_id; object_id; previous_state; new_state; transition_reason; effective_at_utc; changed_by_actor_id; evidence_id; status","Lifecycle transitions must be explicit, chronological, authorized, evidence-backed, and valid for the object type.","LIFECYCLE_STATE_CONFLICT_OR_INVALID_TRANSITION","SOURCE SYSTEM / CROSS-CUTTING ASSURANCE OS","Draft, active, qualified, released, suspended, held, superseded, retired, destroyed, recalled, archived, or cancelled.","The schema identifies, binds, verifies, relates, and governs regulated objects. It does not independently approve, release, override, execute, or authorize regulated actions.","Official object records remain in governed source systems. The identity schema stores canonical references, bindings, aliases, verification results, integrity values, relationships, and governance states without replacing the official source record.","A designated object owner, data steward, system owner, process owner, Quality Unit, clinical authority, or other authorized human role remains accountable for identity verification and binding decisions.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display object identity state but may not create, approve, merge, retire, release, or override canonical identity.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, or real regulated production integration is authorized by this step.","Step 155 must consider object lifecycle state when determining evidence applicability, authority validity, and action admissibility.","Identity schema registration is not runtime implementation, production readiness, regulatory validation, certification, or operational release.","HUMAN IDENTITY-SCHEMA REVIEW REQUIRED"
