"RegisterId","ModuleId","ModuleName","CanonicalWorkstream","OwnerLayer","BoundaryStatus","ArchitectureRole","AuthorityBoundary","DependencyPosition","BaselineClassification","CanonicalStatus","ArchitectureDisposition","RawDiscoveryRouteCount","RouteEvidenceTreatment","RetainedEvidencePaths","ExcludedEvidencePaths","Step148BReviewRationale","Step149ReviewStatus","NextControlAction","Step150Readiness"
"CAP-001","CORE_APP","Current Azure-Hosted COBIT-Chain Application","CORE APPLICATION","Core Application","ACTIVE","Supporting capability registered under its current owner layer pending deeper architecture decomposition.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","BUILT / existing","CANONICAL CURRENT - VERIFY","REGISTER CURRENT IMPLEMENTATION","2","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF",".github\workflows\main_cobitchain-app-demo.yml | app.py | platform_b_mvp\functions\function_app.py | platform_b_mvp\functions\requirements.txt | requirements.txt","","Current implementation evidence exists after the specified historical and patch artifacts were excluded. Independent maturity verification remains required.","REGISTERED - HUMAN ARCHITECTURE REVIEW REQUIRED","Confirm the canonical implementation path, owner, dependency, and acceptance evidence.","READY AFTER STEP 149 REGISTER REVIEW"
"CAP-002","CLINICAL_TRIAL","Clinical Trial / Real-Time Clinical Trial Assurance","LIFE-SCIENCES ASSURANCE","Life-Sciences Assurance","ACTIVE — TOP-TIER DEMONSTRATION","Supporting capability registered under its current owner layer pending deeper architecture decomposition.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","BUILT / existing","CANONICAL CURRENT - VERIFY","REGISTER CURRENT IMPLEMENTATION","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","platform_b_mvp\MVP_AZURE_ENDPOINT_TEST_PASS.md | platform_b_mvp\PLATFORM_B_V2_AGENT_PROTOCOL_ASSURANCE_BACKLOG.md | STEP_148_EXISTING_REPO_MODULE_INVENTORY.ps1","","Current implementation evidence exists after the specified historical and patch artifacts were excluded. Independent maturity verification remains required.","REGISTERED - HUMAN ARCHITECTURE REVIEW REQUIRED","Confirm the canonical implementation path, owner, dependency, and acceptance evidence.","READY AFTER STEP 149 REGISTER REVIEW"
"CAP-003","COMPOUNDING","Compounding Pharmacy Assurance","LIFE-SCIENCES ASSURANCE","Life-Sciences Assurance","ACTIVE — TOP-TIER COMMERCIALIZATION","Supporting capability registered under its current owner layer pending deeper architecture decomposition.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","PROTOTYPE WORKING","CONTROLLED PROTOTYPE","CONTROLLED PROTOTYPE EVOLUTION","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","sterile_compounding_audit_pack_register.csv | sterile_compounding_connector_approval_board.csv | sterile_compounding_connector_test_cases.csv | sterile_compounding_custody_audit_link_register.csv | sterile_compounding_custody_health_register.csv | sterile_compounding_data_contract_register.csv | sterile_compounding_field_mapping_matrix.csv | sterile_compounding_implementation_decision_matrix.csv | sterile_compounding_lineage_register.csv | sterile_compounding_mock_ingestion_lab.csv | sterile_compounding_nonprod_poc_plan.csv | sterile_compounding_platform_health_entry.csv","","Current implementation evidence and local test, validator, or manifest evidence exist. This supports a working prototype baseline only, not production maturity.","REGISTERED - HUMAN ARCHITECTURE REVIEW REQUIRED","Define the next acceptance criteria, local validation evidence, and controlled promotion boundary.","READY AFTER STEP 149 REGISTER REVIEW"
"CAP-004","DSCSA","DSCSA / EPCIS / Supply-Chain Assurance","LIFE-SCIENCES ASSURANCE","Life-Sciences Assurance","ACTIVE — TOP-TIER COMMERCIALIZATION","Supporting capability registered under its current owner layer pending deeper architecture decomposition.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","PROTOTYPE WORKING","CONTROLLED PROTOTYPE","CONTROLLED PROTOTYPE EVOLUTION","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","platform_b1_mvp2\dscsa\dscsa_evidence_integrity_exception_assurance_addendum.json | platform_b1_mvp2\dscsa\DSCSA_EVIDENCE_INTEGRITY_EXCEPTION_ASSURANCE_ADDENDUM.md | platform_b1_mvp2\extension_catalogue\manufacturing_supply_chain_extension_catalogue.json | platform_b1_mvp2\extension_catalogue\MANUFACTURING_SUPPLY_CHAIN_EXTENSION_CATALOGUE.md | platform_b1_mvp2\PLATFORM_B1_MVP2_PRIORITY_SCOPE_LOCK.md | platform_b1_mvp2\priority_scope_lock.json | platform_b1_mvp2\regulated_operations_digital_twin\mock_fixtures\dscsa_late_epcis_vrs_no_response_exception.json | platform_b1_mvp2\regulated_operations_digital_twin\regulated_operations_digital_twin_object_model.json | platform_b1_mvp2\regulated_operations_digital_twin\REGULATED_OPERATIONS_DIGITAL_TWIN_OBJECT_MODEL.md | platform_b1_mvp2\tests\test_dscsa_evidence_integrity_addendum.py | platform_b1_mvp2\tests\test_manufacturing_supply_chain_extension_catalogue.py | STEP_148_EXISTING_REPO_MODULE_INVENTORY.ps1","","Current implementation evidence and local test, validator, or manifest evidence exist. This supports a working prototype baseline only, not production maturity.","REGISTERED - HUMAN ARCHITECTURE REVIEW REQUIRED","Define the next acceptance criteria, local validation evidence, and controlled promotion boundary.","READY AFTER STEP 149 REGISTER REVIEW"
"CAP-005","IRLT","IRLT / Radiopharma Assurance","LIFE-SCIENCES ASSURANCE","Life-Sciences Assurance","ACTIVE — TOP-TIER COMMERCIALIZATION","Supporting capability registered under its current owner layer pending deeper architecture decomposition.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","NEEDS CONSOLIDATION","CANONICAL PATH UNRESOLVED","CANONICAL CONSOLIDATION REQUIRED","2","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","irlt_registry_v2_extend_modules.py | irlt_registry_v2_extend_modules_2.py | platform_b_mvp\v0_5_ambient_operational_trust_fabric\IRLT_DOSE_TIME_ASSURANCE_DEMO.md | platform_b1_mvp2\irlt_radiopharma\irlt_radiopharma_operations_first_tier_addendum.json | platform_b1_mvp2\irlt_radiopharma\IRLT_RADIOPHARMA_OPERATIONS_FIRST_TIER_ADDENDUM.md | platform_b1_mvp2\regulated_operations_digital_twin\mock_fixtures\irlt_equipment_ci_quality_handoff_review.json | platform_b1_mvp2\tests\test_irlt_radiopharma_operations_addendum.py | routes.txt | STEP_148_EXISTING_REPO_MODULE_INVENTORY.ps1 | wide_evidence_lineage_layout.py","patch_commercialization_stress_test.py | patch_rlttrust_final_qa_smoke_test.py","Current evidence exists, but Step 148 also identified fragmentation, duplicate evidence, multiple roots, or historical implementation artifacts requiring canonical consolidation.","REGISTERED - HUMAN ARCHITECTURE REVIEW REQUIRED","Identify the canonical implementation and classify redundant or historical artifacts for retirement.","READY AFTER STEP 149 REGISTER REVIEW"
"CAP-006","CITRUST","CITrust / ServiceNow / CMDB Governance Assurance","OPERATIONAL ASSURANCE","Operational Assurance","ACTIVE","Supporting capability registered under its current owner layer pending deeper architecture decomposition.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","NEEDS CONSOLIDATION","CANONICAL PATH UNRESOLVED","CANONICAL CONSOLIDATION REQUIRED","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","platform_ab_command_center.html | platform_agentic_enterprise_blueprint.html | platform_ai_enabled_cmc_blueprint.html | platform_api_blueprint_command_center.html | platform_architecture_command_center.html | platform_b_enterprise_control_layer_assurance_patch_v1_summary.json | platform_b_mvp\PLATFORM_B_V2_MEANING_TO_ACTION_ASSURANCE_BACKLOG.md | platform_evidence_store_command_center.html | platform_mcp_server_command_center.html | STEP_148_EXISTING_REPO_MODULE_INVENTORY.ps1 | thread-d\ramat-context-witness-mvp\demo\index.html | thread-d\ramat-context-witness-mvp\demo\ramat-context-witness-demo.html","","Current evidence exists, but Step 148 also identified fragmentation, duplicate evidence, multiple roots, or historical implementation artifacts requiring canonical consolidation.","REGISTERED - HUMAN ARCHITECTURE REVIEW REQUIRED","Identify the canonical implementation and classify redundant or historical artifacts for retirement.","READY AFTER STEP 149 REGISTER REVIEW"
"CAP-007","CUTOVERTRUST","CutoverTrust","OPERATIONAL ASSURANCE","Operational Assurance","ACTIVE","Supporting capability registered under its current owner layer pending deeper architecture decomposition.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","BUILT / existing","CANONICAL CURRENT - VERIFY","REGISTER CURRENT IMPLEMENTATION","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","platform_ai_assurance_operational_release_gate.html | platform_ai_assurance_post_release_monitoring.html | platform_ai_lifecycle_change_assurance.html | STEP_148_EXISTING_REPO_MODULE_INVENTORY.ps1","","Current implementation evidence exists after the specified historical and patch artifacts were excluded. Independent maturity verification remains required.","REGISTERED - HUMAN ARCHITECTURE REVIEW REQUIRED","Confirm the canonical implementation path, owner, dependency, and acceptance evidence.","READY AFTER STEP 149 REGISTER REVIEW"
"CAP-008","OPERATIONAL_TRUST","Operational Trust","OPERATIONAL ASSURANCE","Operational Assurance","ACTIVE","Supporting capability registered under its current owner layer pending deeper architecture decomposition.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","NEEDS CONSOLIDATION","CANONICAL PATH UNRESOLVED","CANONICAL CONSOLIDATION REQUIRED","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","platform_ai_operational_readiness.html | platform_b_enterprise_ai_adoption_agent_operational_trust_patch_v1_summary.json | platform_b_mvp\demo_console\operational_trust_score_console.html | platform_b_mvp\v0_5_ambient_operational_trust_fabric\AZURE_IOT_BACKBONE_PLAN.md | platform_b_mvp\v0_5_ambient_operational_trust_fabric\BUYING_AND_COMPONENTS_REGISTER.md | platform_b_mvp\v0_5_ambient_operational_trust_fabric\CHRIS_MULTI_DEMO_SCRIPT.md | platform_b_mvp\v0_5_ambient_operational_trust_fabric\demo_console\index.html | platform_b_mvp\v0_5_ambient_operational_trust_fabric\demo_console\V0_5_DEMO_CONSOLE_MANIFEST.md | platform_b_mvp\v0_5_ambient_operational_trust_fabric\DEVICE_AGNOSTIC_CONTEXT_WITNESS_SCHEMA.md | platform_b_mvp\v0_5_ambient_operational_trust_fabric\PLATFORM_B_V0_5_AMBIENT_OPERATIONAL_TRUST_FABRIC.md | platform_b_mvp\v0_5_ambient_operational_trust_fabric\V0_5_GITHUB_RELEASE_NOTES.md | platform_b_mvp\v0_5_ambient_operational_trust_fabric\V0_5_PULL_REQUEST_BODY.md","","Current evidence exists, but Step 148 also identified fragmentation, duplicate evidence, multiple roots, or historical implementation artifacts requiring canonical consolidation.","REGISTERED - HUMAN ARCHITECTURE REVIEW REQUIRED","Identify the canonical implementation and classify redundant or historical artifacts for retirement.","READY AFTER STEP 149 REGISTER REVIEW"
"CAP-009","PLATFORM_A","Platform A — Assurance Design Plane","PLATFORM A","Platform A","ACTIVE","Discovery, visibility, governance intake, and regulated use-case context. It does not independently authorize regulated execution.","No independent binding authority. Discovery, intake, and governance context must flow to the appropriate assurance and human authority layers.","Provides use-case, governance, inventory, and visibility context to Platform B and Platform B1.","NEEDS CONSOLIDATION","CANONICAL PATH UNRESOLVED","CANONICAL CONSOLIDATION REQUIRED","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","platform_ab_command_center.html | platform_action_assurance_workflow.html | platform_agentic_action_assurance_flow.html | platform_agentic_enterprise_blueprint.html | platform_ai_accountability_raci.html | platform_ai_architecture_assurance.html | platform_ai_assurance_control_router.html | platform_ai_assurance_knowledge_reuse_registry.html | platform_ai_assurance_remediation_queue.html | platform_ai_enabled_cmc_blueprint.html | platform_ai_team_assurance.html | platform_api_blueprint_command_center.html","","Current evidence exists, but Step 148 also identified fragmentation, duplicate evidence, multiple roots, or historical implementation artifacts requiring canonical consolidation.","REGISTERED - HUMAN ARCHITECTURE REVIEW REQUIRED","Identify the canonical implementation and classify redundant or historical artifacts for retirement.","READY AFTER STEP 149 REGISTER REVIEW"
"CAP-010","PLATFORM_B_V1","Platform B v1 — Frozen Action Admissibility Kernel","PLATFORM B v1","Platform B v1 — FROZEN","FROZEN — DO NOT REOPEN","Frozen validated-core assurance decision engine containing the six locked Platform B v1 capabilities.","May evaluate assurance state and admissibility within the locked core. It does not replace human accountability, Quality Unit authority, or source-system records.","Foundational locked assurance core. Thread D v1 consumes its state. Platform B1 extends around it without reopening it.","ARCHITECTURE LOCKED","CANONICAL LOCKED","PRESERVE LOCKED ARCHITECTURE","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","platform_b_mvp\API_CONTRACT.md | platform_b_mvp\demo_console\action_admissibility_console.html | platform_b_mvp\demo_seed_data\demo_action_admissibility_records.json | platform_b_mvp\docs\PLATFORM_B_MVP_AZURE_DEPLOYMENT_CLOSEOUT.md | platform_b_mvp\functions\function_app.py | platform_b_mvp\MVP_AZURE_ENDPOINT_TEST_PASS.md | platform_b_mvp\MVP_EVIDENCE_PACKAGE_INDEX.md | platform_b_mvp\MVP_IP_FUNDING_EVIDENCE_COVER_NOTE.md | platform_b_mvp\MVP_PHD_FUNDING_OUTREACH_BRIEF.md | platform_b_mvp\MVP_RELEASE_PROOF_SUMMARY.md | platform_b_mvp\README.md | platform_b_mvp\v0_6_operational_trust_passport_evidence_mesh\ACTION_ADMISSIBILITY_LEDGER_SCHEMA.md","","Governance boundary override: Platform B v1 remains the frozen six-function core. Raw route totals and historical files do not change this boundary.","REGISTERED - HUMAN ARCHITECTURE REVIEW REQUIRED","Preserve the current boundary. Permit evidence, documentation, or controlled maintenance only; do not reopen architecture.","READY AFTER STEP 149 REGISTER REVIEW"
