TrackId,TrackName,PriorityTier,Scenario,FailureType,IntegrityState,IdentityVerified,DependenciesSatisfied,EvidenceSufficient,AuthorityValid,TimingValid,NoBindState,ActionAdmissibilityState,DisplayStates,SourceExecutionRequired,ExecutionPerformed
IRLT,IRLT and Radiopharmaceutical Assurance Track,FIRST-TIER,IRLT_01_baseline_success,,REHASH_VERIFIED,True,True,True,True,True,INACTIVE,ADMISSIBLE,ACTION ADMISSIBLE; SOURCE-SYSTEM EXECUTION REQUIRED,True,False
IRLT,IRLT and Radiopharmaceutical Assurance Track,FIRST-TIER,IRLT_02_evidence_tamper_failure,EVIDENCE_TAMPER_INJECTED,REHASH_MISMATCH,True,True,False,True,True,ACTIVE,HELD,EVIDENCE INSUFFICIENT; NO-BIND STATE ACTIVE; ACTION HELD; HUMAN AUTHORITY REQUIRED,True,False
IRLT,IRLT and Radiopharmaceutical Assurance Track,FIRST-TIER,IRLT_03_domain_failure,IRLT_CUSTODY_GAP,REHASH_VERIFIED,True,False,False,True,True,ACTIVE,HELD,DEPENDENCY UNSATISFIED; NO-BIND STATE ACTIVE; ACTION HELD; HUMAN AUTHORITY REQUIRED,True,False
IRLT,IRLT and Radiopharmaceutical Assurance Track,FIRST-TIER,IRLT_04_recovery_success,,REHASH_VERIFIED,True,True,True,True,True,INACTIVE,ADMISSIBLE,ACTION ADMISSIBLE; SOURCE-SYSTEM EXECUTION REQUIRED,True,False
COMPOUNDING,Compounding Pharmacy Assurance Track,FIRST-TIER,COMPOUNDING_01_baseline_success,,REHASH_VERIFIED,True,True,True,True,True,INACTIVE,ADMISSIBLE,ACTION ADMISSIBLE; SOURCE-SYSTEM EXECUTION REQUIRED,True,False
COMPOUNDING,Compounding Pharmacy Assurance Track,FIRST-TIER,COMPOUNDING_02_evidence_tamper_failure,EVIDENCE_TAMPER_INJECTED,REHASH_MISMATCH,True,True,False,True,True,ACTIVE,HELD,EVIDENCE INSUFFICIENT; NO-BIND STATE ACTIVE; ACTION HELD; HUMAN AUTHORITY REQUIRED,True,False
COMPOUNDING,Compounding Pharmacy Assurance Track,FIRST-TIER,COMPOUNDING_03_domain_failure,COMPOUNDING_LABEL_MISMATCH,REHASH_VERIFIED,True,False,False,True,True,ACTIVE,HELD,DEPENDENCY UNSATISFIED; NO-BIND STATE ACTIVE; ACTION HELD; HUMAN AUTHORITY REQUIRED,True,False
COMPOUNDING,Compounding Pharmacy Assurance Track,FIRST-TIER,COMPOUNDING_04_recovery_success,,REHASH_VERIFIED,True,True,True,True,True,INACTIVE,ADMISSIBLE,ACTION ADMISSIBLE; SOURCE-SYSTEM EXECUTION REQUIRED,True,False
DSCSA,DSCSA and Pharmaceutical Supply-Chain Assurance Track,FIRST-TIER,DSCSA_01_baseline_success,,REHASH_VERIFIED,True,True,True,True,True,INACTIVE,ADMISSIBLE,ACTION ADMISSIBLE; SOURCE-SYSTEM EXECUTION REQUIRED,True,False
DSCSA,DSCSA and Pharmaceutical Supply-Chain Assurance Track,FIRST-TIER,DSCSA_02_evidence_tamper_failure,EVIDENCE_TAMPER_INJECTED,REHASH_MISMATCH,True,True,False,True,True,ACTIVE,HELD,EVIDENCE INSUFFICIENT; NO-BIND STATE ACTIVE; ACTION HELD; HUMAN AUTHORITY REQUIRED,True,False
DSCSA,DSCSA and Pharmaceutical Supply-Chain Assurance Track,FIRST-TIER,DSCSA_03_domain_failure,DSCSA_EPCIS_SEQUENCE_BREAK,REHASH_VERIFIED,True,False,False,True,True,ACTIVE,HELD,DEPENDENCY UNSATISFIED; NO-BIND STATE ACTIVE; ACTION HELD; HUMAN AUTHORITY REQUIRED,True,False
DSCSA,DSCSA and Pharmaceutical Supply-Chain Assurance Track,FIRST-TIER,DSCSA_04_recovery_success,,REHASH_VERIFIED,True,True,True,True,True,INACTIVE,ADMISSIBLE,ACTION ADMISSIBLE; SOURCE-SYSTEM EXECUTION REQUIRED,True,False
