SEQUENCE	CLASS	PHASE	BYTE_LENGTH	SHA-256	ROLE	RELATIVE_PATH
001	STATIC	173C	617	C0FD86CABC9C55FCCD1E2F359B635EDC4013BE0F87639E00C1C27436B3D1729A	INVENTORY_CONTROL	platform_b1_mvp2/assurance_os/inventory/step_173_labtrust_ramat_gxp_control_patterns_scope_review/README.md
002	STATIC	173C	728	C637782C60AB87C197E62147C6ABB05DE7348CF925E158077516B69995B07339	INVENTORY_CONTROL	platform_b1_mvp2/assurance_os/inventory/step_173_labtrust_ramat_gxp_control_patterns_scope_review/scope_statement.md
003	STATIC	173C	506	D5D3D896935CE9F2868A4A6A9B84141DA657E43AE43D4881E82B8A53D80FEBE0	SANITIZATION_CONTROL	platform_b1_mvp2/assurance_os/inventory/step_173_labtrust_ramat_gxp_control_patterns_scope_review/sanitization_boundary.md
004	STATIC	173C	3407	5B812613011FA69EB689A825CAB34D501FDC3CDC5EAB5EF6B975493D1EA0FE56	SCOPE_REGISTER	platform_b1_mvp2/assurance_os/inventory/step_173_labtrust_ramat_gxp_control_patterns_scope_review/capability_family_register.json
005	STATIC	173C	1851	189D2FF2D3ECF7A949630564C7419C8DC8382584709FEE06433D1FA7630D805B	SOURCE_REGISTER	platform_b1_mvp2/assurance_os/inventory/step_173_labtrust_ramat_gxp_control_patterns_scope_review/source_system_family_register.json
006	STATIC	173C	285	A1C11A5A61C8E97702568D52437ADC30F7023FF3180A5E95FB47B05D447FE7CA	BOUNDARY_REGISTER	platform_b1_mvp2/assurance_os/inventory/step_173_labtrust_ramat_gxp_control_patterns_scope_review/frozen_dependency_register.json
007	STATIC	173C	476	FC8A4FCD56FCF493A49760ABBDC80FDE6FCE02AA81080229A39317D8F6F80E2E	BOUNDARY_REGISTER	platform_b1_mvp2/assurance_os/inventory/step_173_labtrust_ramat_gxp_control_patterns_scope_review/prohibited_content_register.json
008	STATIC	173C	362	6FBFF73EA8AFBA82CF504750D4DDC28CDAE9C1F754B03E148723983ECFFCA8A2	EXECUTION_GATE	platform_b1_mvp2/assurance_os/inventory/step_173_labtrust_ramat_gxp_control_patterns_scope_review/step_173c_entry_gate.md
009	STATIC	173C	457	DB1ED8F5E1B03A952D39583CDE5EC21698F7D84C111CDEF11FFD3EDDEC4A0DB0	EXECUTION_GATE	platform_b1_mvp2/assurance_os/inventory/step_173_labtrust_ramat_gxp_control_patterns_scope_review/step_173d_entry_gate.md
010	STATIC	173C	155671	9A8FBF01151687C674AB490EE23AA3A3F3E8CAE822F5760DD2F9D2EAD5D35785	MANIFEST_CONTROL	platform_b1_mvp2/assurance_os/inventory/step_173_labtrust_ramat_gxp_control_patterns_scope_review/exact_create_only_manifest.json
