"RegisterId","ModuleId","ModuleName","LayerCode","CanonicalWorkstream","PrimaryOwner","OwnershipType","OwnershipStatus","BaselineClassification","CanonicalStatus","ArchitectureDisposition","ArchitectureLocked","AssuranceDecisionRole","DisplayWitnessRole","BindingAuthority","ExecutionAuthority","OfficialRecordAuthority","HumanAccountability","SourceOfTruthRule","PermittedScope","ProhibitedScope","InboundDependencies","OutboundDependencies","ArchitectureBoundary","Step149AuthorityBoundary","Step149DependencyPosition","Step149NextControlAction","RawDiscoveryRouteCount","RouteEvidenceTreatment","Step150ReviewStatus","Step151Readiness"
"CAP-001","CORE_APP","Current Azure-Hosted COBIT-Chain Application","SUPPORT","CORE APPLICATION","CORE APPLICATION","SUPPORTING ARCHITECTURE CAPABILITY","CURRENT OWNER REGISTERED - VERIFY IMPLEMENTATION","BUILT / existing","CANONICAL CURRENT - VERIFY","REGISTER CURRENT IMPLEMENTATION","False","NO INDEPENDENT DECISION AUTHORITY","CONTROLLED SUPPORTING ROLE","HUMAN AUTHORITY REQUIRED","NO INDEPENDENT REGULATED EXECUTION AUTHORITY","OFFICIAL SOURCE SYSTEMS REMAIN AUTHORITATIVE","A qualified human, designated process owner, system owner, Quality Unit, clinical authority, or other authorized role remains accountable for binding decisions.","Official records remain in governed source systems. This capability may reference, evaluate, seal, reconstruct, or display evidence but does not replace the official record.","Perform its registered supporting capability within the approved owner layer.","Must not independently approve, release, override, execute, or replace governed source systems.","Dependencies require confirmation during architecture review.","Downstream relationships require confirmation during architecture review.","Supporting capability boundary pending detailed verification.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","Confirm the canonical implementation path, owner, dependency, and acceptance evidence.","2","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","OWNERSHIP AND BOUNDARY REGISTERED - HUMAN REVIEW REQUIRED","READY AFTER STEP 150 OWNERSHIP MAP REVIEW"
"CAP-002","CLINICAL_TRIAL","Clinical Trial / Real-Time Clinical Trial Assurance","SUPPORT","LIFE-SCIENCES ASSURANCE","LIFE-SCIENCES ASSURANCE","SUPPORTING ARCHITECTURE CAPABILITY","CURRENT OWNER REGISTERED - VERIFY IMPLEMENTATION","BUILT / existing","CANONICAL CURRENT - VERIFY","REGISTER CURRENT IMPLEMENTATION","False","NO INDEPENDENT DECISION AUTHORITY","CONTROLLED SUPPORTING ROLE","HUMAN AUTHORITY REQUIRED","NO INDEPENDENT REGULATED EXECUTION AUTHORITY","OFFICIAL SOURCE SYSTEMS REMAIN AUTHORITATIVE","A qualified human, designated process owner, system owner, Quality Unit, clinical authority, or other authorized role remains accountable for binding decisions.","Official records remain in governed source systems. This capability may reference, evaluate, seal, reconstruct, or display evidence but does not replace the official record.","Perform its registered supporting capability within the approved owner layer.","Must not independently approve, release, override, execute, or replace governed source systems.","Dependencies require confirmation during architecture review.","Downstream relationships require confirmation during architecture review.","Supporting capability boundary pending detailed verification.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","Confirm the canonical implementation path, owner, dependency, and acceptance evidence.","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","OWNERSHIP AND BOUNDARY REGISTERED - HUMAN REVIEW REQUIRED","READY AFTER STEP 150 OWNERSHIP MAP REVIEW"
"CAP-003","COMPOUNDING","Compounding Pharmacy Assurance","SUPPORT","LIFE-SCIENCES ASSURANCE","LIFE-SCIENCES ASSURANCE","SUPPORTING ARCHITECTURE CAPABILITY","PROTOTYPE OWNER REGISTERED","PROTOTYPE WORKING","CONTROLLED PROTOTYPE","CONTROLLED PROTOTYPE EVOLUTION","False","NO INDEPENDENT DECISION AUTHORITY","CONTROLLED SUPPORTING ROLE","HUMAN AUTHORITY REQUIRED","NO INDEPENDENT REGULATED EXECUTION AUTHORITY","OFFICIAL SOURCE SYSTEMS REMAIN AUTHORITATIVE","A qualified human, designated process owner, system owner, Quality Unit, clinical authority, or other authorized role remains accountable for binding decisions.","Official records remain in governed source systems. This capability may reference, evaluate, seal, reconstruct, or display evidence but does not replace the official record.","Perform its registered supporting capability within the approved owner layer.","Must not independently approve, release, override, execute, or replace governed source systems.","Dependencies require confirmation during architecture review.","Downstream relationships require confirmation during architecture review.","Supporting capability boundary pending detailed verification.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","Define the next acceptance criteria, local validation evidence, and controlled promotion boundary.","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","OWNERSHIP AND BOUNDARY REGISTERED - HUMAN REVIEW REQUIRED","READY AFTER STEP 150 OWNERSHIP MAP REVIEW"
"CAP-004","DSCSA","DSCSA / EPCIS / Supply-Chain Assurance","SUPPORT","LIFE-SCIENCES ASSURANCE","LIFE-SCIENCES ASSURANCE","SUPPORTING ARCHITECTURE CAPABILITY","PROTOTYPE OWNER REGISTERED","PROTOTYPE WORKING","CONTROLLED PROTOTYPE","CONTROLLED PROTOTYPE EVOLUTION","False","NO INDEPENDENT DECISION AUTHORITY","CONTROLLED SUPPORTING ROLE","HUMAN AUTHORITY REQUIRED","NO INDEPENDENT REGULATED EXECUTION AUTHORITY","OFFICIAL SOURCE SYSTEMS REMAIN AUTHORITATIVE","A qualified human, designated process owner, system owner, Quality Unit, clinical authority, or other authorized role remains accountable for binding decisions.","Official records remain in governed source systems. This capability may reference, evaluate, seal, reconstruct, or display evidence but does not replace the official record.","Perform its registered supporting capability within the approved owner layer.","Must not independently approve, release, override, execute, or replace governed source systems.","Dependencies require confirmation during architecture review.","Downstream relationships require confirmation during architecture review.","Supporting capability boundary pending detailed verification.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","Define the next acceptance criteria, local validation evidence, and controlled promotion boundary.","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","OWNERSHIP AND BOUNDARY REGISTERED - HUMAN REVIEW REQUIRED","READY AFTER STEP 150 OWNERSHIP MAP REVIEW"
"CAP-005","IRLT","IRLT / Radiopharma Assurance","SUPPORT","LIFE-SCIENCES ASSURANCE","LIFE-SCIENCES ASSURANCE","SUPPORTING ARCHITECTURE CAPABILITY","OWNER REGISTERED - CANONICAL PATH UNRESOLVED","NEEDS CONSOLIDATION","CANONICAL PATH UNRESOLVED","CANONICAL CONSOLIDATION REQUIRED","False","NO INDEPENDENT DECISION AUTHORITY","CONTROLLED SUPPORTING ROLE","HUMAN AUTHORITY REQUIRED","NO INDEPENDENT REGULATED EXECUTION AUTHORITY","OFFICIAL SOURCE SYSTEMS REMAIN AUTHORITATIVE","A qualified human, designated process owner, system owner, Quality Unit, clinical authority, or other authorized role remains accountable for binding decisions.","Official records remain in governed source systems. This capability may reference, evaluate, seal, reconstruct, or display evidence but does not replace the official record.","Perform its registered supporting capability within the approved owner layer.","Must not independently approve, release, override, execute, or replace governed source systems.","Dependencies require confirmation during architecture review.","Downstream relationships require confirmation during architecture review.","Supporting capability boundary pending detailed verification.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","Identify the canonical implementation and classify redundant or historical artifacts for retirement.","2","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","OWNERSHIP AND BOUNDARY REGISTERED - HUMAN REVIEW REQUIRED","READY AFTER STEP 150 OWNERSHIP MAP REVIEW"
"CAP-006","CITRUST","CITrust / ServiceNow / CMDB Governance Assurance","SUPPORT","OPERATIONAL ASSURANCE","OPERATIONAL ASSURANCE","SUPPORTING ARCHITECTURE CAPABILITY","OWNER REGISTERED - CANONICAL PATH UNRESOLVED","NEEDS CONSOLIDATION","CANONICAL PATH UNRESOLVED","CANONICAL CONSOLIDATION REQUIRED","False","NO INDEPENDENT DECISION AUTHORITY","CONTROLLED SUPPORTING ROLE","HUMAN AUTHORITY REQUIRED","NO INDEPENDENT REGULATED EXECUTION AUTHORITY","OFFICIAL SOURCE SYSTEMS REMAIN AUTHORITATIVE","A qualified human, designated process owner, system owner, Quality Unit, clinical authority, or other authorized role remains accountable for binding decisions.","Official records remain in governed source systems. This capability may reference, evaluate, seal, reconstruct, or display evidence but does not replace the official record.","Perform its registered supporting capability within the approved owner layer.","Must not independently approve, release, override, execute, or replace governed source systems.","Dependencies require confirmation during architecture review.","Downstream relationships require confirmation during architecture review.","Supporting capability boundary pending detailed verification.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","Identify the canonical implementation and classify redundant or historical artifacts for retirement.","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","OWNERSHIP AND BOUNDARY REGISTERED - HUMAN REVIEW REQUIRED","READY AFTER STEP 150 OWNERSHIP MAP REVIEW"
"CAP-007","CUTOVERTRUST","CutoverTrust","SUPPORT","OPERATIONAL ASSURANCE","OPERATIONAL ASSURANCE","SUPPORTING ARCHITECTURE CAPABILITY","CURRENT OWNER REGISTERED - VERIFY IMPLEMENTATION","BUILT / existing","CANONICAL CURRENT - VERIFY","REGISTER CURRENT IMPLEMENTATION","False","NO INDEPENDENT DECISION AUTHORITY","CONTROLLED SUPPORTING ROLE","HUMAN AUTHORITY REQUIRED","NO INDEPENDENT REGULATED EXECUTION AUTHORITY","OFFICIAL SOURCE SYSTEMS REMAIN AUTHORITATIVE","A qualified human, designated process owner, system owner, Quality Unit, clinical authority, or other authorized role remains accountable for binding decisions.","Official records remain in governed source systems. This capability may reference, evaluate, seal, reconstruct, or display evidence but does not replace the official record.","Perform its registered supporting capability within the approved owner layer.","Must not independently approve, release, override, execute, or replace governed source systems.","Dependencies require confirmation during architecture review.","Downstream relationships require confirmation during architecture review.","Supporting capability boundary pending detailed verification.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","Confirm the canonical implementation path, owner, dependency, and acceptance evidence.","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","OWNERSHIP AND BOUNDARY REGISTERED - HUMAN REVIEW REQUIRED","READY AFTER STEP 150 OWNERSHIP MAP REVIEW"
"CAP-008","OPERATIONAL_TRUST","Operational Trust","SUPPORT","OPERATIONAL ASSURANCE","OPERATIONAL ASSURANCE","SUPPORTING ARCHITECTURE CAPABILITY","OWNER REGISTERED - CANONICAL PATH UNRESOLVED","NEEDS CONSOLIDATION","CANONICAL PATH UNRESOLVED","CANONICAL CONSOLIDATION REQUIRED","False","NO INDEPENDENT DECISION AUTHORITY","CONTROLLED SUPPORTING ROLE","HUMAN AUTHORITY REQUIRED","NO INDEPENDENT REGULATED EXECUTION AUTHORITY","OFFICIAL SOURCE SYSTEMS REMAIN AUTHORITATIVE","A qualified human, designated process owner, system owner, Quality Unit, clinical authority, or other authorized role remains accountable for binding decisions.","Official records remain in governed source systems. This capability may reference, evaluate, seal, reconstruct, or display evidence but does not replace the official record.","Perform its registered supporting capability within the approved owner layer.","Must not independently approve, release, override, execute, or replace governed source systems.","Dependencies require confirmation during architecture review.","Downstream relationships require confirmation during architecture review.","Supporting capability boundary pending detailed verification.","No independent binding authority unless explicitly assigned through a governed future architecture decision.","Cross-cutting dependency to be refined during Step 150 ownership and boundary mapping.","Identify the canonical implementation and classify redundant or historical artifacts for retirement.","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","OWNERSHIP AND BOUNDARY REGISTERED - HUMAN REVIEW REQUIRED","READY AFTER STEP 150 OWNERSHIP MAP REVIEW"
"CAP-009","PLATFORM_A","Platform A — Assurance Design Plane","A","PLATFORM A","Platform A governance and discovery layer","GOVERNANCE INTAKE AND VISIBILITY","OWNER REGISTERED - CANONICAL PATH UNRESOLVED","NEEDS CONSOLIDATION","CANONICAL PATH UNRESOLVED","CANONICAL CONSOLIDATION REQUIRED","False","NO INDEPENDENT ASSURANCE DECISION AUTHORITY","May display inventory, discovery, and governance context","HUMAN AUTHORITY REQUIRED","NO INDEPENDENT REGULATED EXECUTION AUTHORITY","SOURCE SYSTEMS REMAIN AUTHORITATIVE","A qualified human, designated process owner, system owner, Quality Unit, clinical authority, or other authorized role remains accountable for binding decisions.","Official records remain in governed source systems. This capability may reference, evaluate, seal, reconstruct, or display evidence but does not replace the official record.","Discover, register, inventory, classify, contextualize, and route regulated AI and assurance use cases.","Must not approve, release, override, execute, or bind regulated work.","Use-case sponsors, governance owners, source-system metadata, and organizational context.","Provides governed context to Platform B, Platform B1, and Thread C.","Governance intake and visibility boundary.","No independent binding authority. Discovery, intake, and governance context must flow to the appropriate assurance and human authority layers.","Provides use-case, governance, inventory, and visibility context to Platform B and Platform B1.","Identify the canonical implementation and classify redundant or historical artifacts for retirement.","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","OWNERSHIP AND BOUNDARY REGISTERED - HUMAN REVIEW REQUIRED","READY AFTER STEP 150 OWNERSHIP MAP REVIEW"
"CAP-010","PLATFORM_B_V1","Platform B v1 — Frozen Action Admissibility Kernel","B","PLATFORM B v1","Platform B v1 assurance decision engine","LOCKED CORE ASSURANCE ENGINE","LOCKED OWNER AND BOUNDARY CONFIRMED","ARCHITECTURE LOCKED","CANONICAL LOCKED","PRESERVE LOCKED ARCHITECTURE","True","Evaluates assurance state and action admissibility within the frozen six-capability core.","Produces assurance state consumed by Thread D v1.","ASSURANCE EVALUATION ONLY; HUMAN AUTHORITY REMAINS REQUIRED","MAY EVALUATE ASSURANCE STATE; MAY NOT INDEPENDENTLY EXECUTE OR BIND REGULATED ACTIONS","DOES NOT REPLACE OFFICIAL SOURCE-SYSTEM RECORDS","A qualified human, designated process owner, system owner, Quality Unit, clinical authority, or other authorized role remains accountable for binding decisions.","Official records remain in governed source systems. This capability may reference, evaluate, seal, reconstruct, or display evidence but does not replace the official record.","AI Use Case Registry; Assurance Check API; Evidence Upload; Operational Trust Score; Action Admissibility Record; Wearable Endpoint Simulator.","Must not reopen architecture, add unapproved core capabilities, replace the Quality Unit, or release work.","Governed evidence, Platform A context, human-defined controls, and official source-system references.","Provides locked-core assurance state to Thread D v1 and supports bounded Platform B1 evolution.","Frozen six-capability assurance core.","May evaluate assurance state and admissibility within the locked core. It does not replace human accountability, Quality Unit authority, or source-system records.","Foundational locked assurance core. Thread D v1 consumes its state. Platform B1 extends around it without reopening it.","Preserve the current boundary. Permit evidence, documentation, or controlled maintenance only; do not reopen architecture.","0","RAW STEP 148 DISCOVERY EVIDENCE ONLY - NOT MATURITY PROOF","OWNERSHIP AND BOUNDARY REGISTERED - HUMAN REVIEW REQUIRED","READY AFTER STEP 150 OWNERSHIP MAP REVIEW"
